"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Taco N Todo, Ciudad de Buenos Aires","martes",6,0,-34.6233667,-58.4376013,2021-03-27
"2","Taco N Todo, Ciudad de Buenos Aires","martes",7,0,-34.6233667,-58.4376013,2021-03-27
"3","Taco N Todo, Ciudad de Buenos Aires","martes",8,0,-34.6233667,-58.4376013,2021-03-27
"4","Taco N Todo, Ciudad de Buenos Aires","martes",9,0,-34.6233667,-58.4376013,2021-03-27
"5","Taco N Todo, Ciudad de Buenos Aires","martes",10,0,-34.6233667,-58.4376013,2021-03-27
"6","Taco N Todo, Ciudad de Buenos Aires","martes",11,0,-34.6233667,-58.4376013,2021-03-27
"7","Taco N Todo, Ciudad de Buenos Aires","martes",12,13.5,-34.6233667,-58.4376013,2021-03-27
"8","Taco N Todo, Ciudad de Buenos Aires","martes",13,17.25,-34.6233667,-58.4376013,2021-03-27
"9","Taco N Todo, Ciudad de Buenos Aires","martes",14,12,-34.6233667,-58.4376013,2021-03-27
"10","Taco N Todo, Ciudad de Buenos Aires","martes",15,0,-34.6233667,-58.4376013,2021-03-27
"11","Taco N Todo, Ciudad de Buenos Aires","martes",16,0,-34.6233667,-58.4376013,2021-03-27
"12","Taco N Todo, Ciudad de Buenos Aires","martes",17,0,-34.6233667,-58.4376013,2021-03-27
"13","Taco N Todo, Ciudad de Buenos Aires","martes",18,0,-34.6233667,-58.4376013,2021-03-27
"14","Taco N Todo, Ciudad de Buenos Aires","martes",19,9.75,-34.6233667,-58.4376013,2021-03-27
"15","Taco N Todo, Ciudad de Buenos Aires","martes",20,30.75,-34.6233667,-58.4376013,2021-03-27
"16","Taco N Todo, Ciudad de Buenos Aires","martes",21,45,-34.6233667,-58.4376013,2021-03-27
"17","Taco N Todo, Ciudad de Buenos Aires","martes",22,33,-34.6233667,-58.4376013,2021-03-27
"18","Taco N Todo, Ciudad de Buenos Aires","martes",23,12,-34.6233667,-58.4376013,2021-03-27
"19","Taco N Todo, Ciudad de Buenos Aires","miercoles",6,0,-34.6233667,-58.4376013,2021-03-27
"20","Taco N Todo, Ciudad de Buenos Aires","miercoles",7,0,-34.6233667,-58.4376013,2021-03-27
"21","Taco N Todo, Ciudad de Buenos Aires","miercoles",8,0,-34.6233667,-58.4376013,2021-03-27
"22","Taco N Todo, Ciudad de Buenos Aires","miercoles",9,0,-34.6233667,-58.4376013,2021-03-27
"23","Taco N Todo, Ciudad de Buenos Aires","miercoles",10,0,-34.6233667,-58.4376013,2021-03-27
"24","Taco N Todo, Ciudad de Buenos Aires","miercoles",11,0,-34.6233667,-58.4376013,2021-03-27
"25","Taco N Todo, Ciudad de Buenos Aires","miercoles",12,8.25,-34.6233667,-58.4376013,2021-03-27
"26","Taco N Todo, Ciudad de Buenos Aires","miercoles",13,8.25,-34.6233667,-58.4376013,2021-03-27
"27","Taco N Todo, Ciudad de Buenos Aires","miercoles",14,6.75,-34.6233667,-58.4376013,2021-03-27
"28","Taco N Todo, Ciudad de Buenos Aires","miercoles",15,0,-34.6233667,-58.4376013,2021-03-27
"29","Taco N Todo, Ciudad de Buenos Aires","miercoles",16,0,-34.6233667,-58.4376013,2021-03-27
"30","Taco N Todo, Ciudad de Buenos Aires","miercoles",17,0,-34.6233667,-58.4376013,2021-03-27
"31","Taco N Todo, Ciudad de Buenos Aires","miercoles",18,0,-34.6233667,-58.4376013,2021-03-27
"32","Taco N Todo, Ciudad de Buenos Aires","miercoles",19,10.5,-34.6233667,-58.4376013,2021-03-27
"33","Taco N Todo, Ciudad de Buenos Aires","miercoles",20,34.5,-34.6233667,-58.4376013,2021-03-27
"34","Taco N Todo, Ciudad de Buenos Aires","miercoles",21,51.75,-34.6233667,-58.4376013,2021-03-27
"35","Taco N Todo, Ciudad de Buenos Aires","miercoles",22,36,-34.6233667,-58.4376013,2021-03-27
