"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Tanti Pizza, Ciudad de Buenos Aires","lunes",6,0,-34.5688319,-58.4553975,2021-03-28
"2","Tanti Pizza, Ciudad de Buenos Aires","lunes",7,0,-34.5688319,-58.4553975,2021-03-28
"3","Tanti Pizza, Ciudad de Buenos Aires","lunes",8,13.5,-34.5688319,-58.4553975,2021-03-28
"4","Tanti Pizza, Ciudad de Buenos Aires","lunes",9,19.5,-34.5688319,-58.4553975,2021-03-28
"5","Tanti Pizza, Ciudad de Buenos Aires","lunes",10,25.5,-34.5688319,-58.4553975,2021-03-28
"6","Tanti Pizza, Ciudad de Buenos Aires","lunes",11,31.5,-34.5688319,-58.4553975,2021-03-28
"7","Tanti Pizza, Ciudad de Buenos Aires","lunes",12,36,-34.5688319,-58.4553975,2021-03-28
"8","Tanti Pizza, Ciudad de Buenos Aires","lunes",13,39,-34.5688319,-58.4553975,2021-03-28
"9","Tanti Pizza, Ciudad de Buenos Aires","lunes",14,39,-34.5688319,-58.4553975,2021-03-28
"10","Tanti Pizza, Ciudad de Buenos Aires","lunes",15,36.75,-34.5688319,-58.4553975,2021-03-28
"11","Tanti Pizza, Ciudad de Buenos Aires","lunes",16,33,-34.5688319,-58.4553975,2021-03-28
"12","Tanti Pizza, Ciudad de Buenos Aires","lunes",17,30,-34.5688319,-58.4553975,2021-03-28
"13","Tanti Pizza, Ciudad de Buenos Aires","lunes",18,30,-34.5688319,-58.4553975,2021-03-28
"14","Tanti Pizza, Ciudad de Buenos Aires","lunes",19,32.25,-34.5688319,-58.4553975,2021-03-28
"15","Tanti Pizza, Ciudad de Buenos Aires","lunes",20,35.25,-34.5688319,-58.4553975,2021-03-28
"16","Tanti Pizza, Ciudad de Buenos Aires","lunes",21,36,-34.5688319,-58.4553975,2021-03-28
"17","Tanti Pizza, Ciudad de Buenos Aires","lunes",22,31.5,-34.5688319,-58.4553975,2021-03-28
"18","Tanti Pizza, Ciudad de Buenos Aires","lunes",23,22.5,-34.5688319,-58.4553975,2021-03-28
"19","Tanti Pizza, Ciudad de Buenos Aires","martes",6,0,-34.5688319,-58.4553975,2021-03-28
"20","Tanti Pizza, Ciudad de Buenos Aires","martes",7,0,-34.5688319,-58.4553975,2021-03-28
"21","Tanti Pizza, Ciudad de Buenos Aires","martes",8,12,-34.5688319,-58.4553975,2021-03-28
"22","Tanti Pizza, Ciudad de Buenos Aires","martes",9,16.5,-34.5688319,-58.4553975,2021-03-28
"23","Tanti Pizza, Ciudad de Buenos Aires","martes",10,21.75,-34.5688319,-58.4553975,2021-03-28
"24","Tanti Pizza, Ciudad de Buenos Aires","martes",11,26.25,-34.5688319,-58.4553975,2021-03-28
"25","Tanti Pizza, Ciudad de Buenos Aires","martes",12,30,-34.5688319,-58.4553975,2021-03-28
"26","Tanti Pizza, Ciudad de Buenos Aires","martes",13,33,-34.5688319,-58.4553975,2021-03-28
"27","Tanti Pizza, Ciudad de Buenos Aires","martes",14,33.75,-34.5688319,-58.4553975,2021-03-28
"28","Tanti Pizza, Ciudad de Buenos Aires","martes",15,33.75,-34.5688319,-58.4553975,2021-03-28
"29","Tanti Pizza, Ciudad de Buenos Aires","martes",16,31.5,-34.5688319,-58.4553975,2021-03-28
"30","Tanti Pizza, Ciudad de Buenos Aires","martes",17,30,-34.5688319,-58.4553975,2021-03-28
"31","Tanti Pizza, Ciudad de Buenos Aires","martes",18,31.5,-34.5688319,-58.4553975,2021-03-28
"32","Tanti Pizza, Ciudad de Buenos Aires","martes",19,36.75,-34.5688319,-58.4553975,2021-03-28
"33","Tanti Pizza, Ciudad de Buenos Aires","martes",20,45,-34.5688319,-58.4553975,2021-03-28
"34","Tanti Pizza, Ciudad de Buenos Aires","martes",21,51.75,-34.5688319,-58.4553975,2021-03-28
"35","Tanti Pizza, Ciudad de Buenos Aires","martes",22,49.5,-34.5688319,-58.4553975,2021-03-28
"36","Tanti Pizza, Ciudad de Buenos Aires","martes",23,37.5,-34.5688319,-58.4553975,2021-03-28
"37","Tanti Pizza, Ciudad de Buenos Aires","miercoles",6,0,-34.5688319,-58.4553975,2021-03-28
"38","Tanti Pizza, Ciudad de Buenos Aires","miercoles",7,0,-34.5688319,-58.4553975,2021-03-28
"39","Tanti Pizza, Ciudad de Buenos Aires","miercoles",8,13.5,-34.5688319,-58.4553975,2021-03-28
"40","Tanti Pizza, Ciudad de Buenos Aires","miercoles",9,21,-34.5688319,-58.4553975,2021-03-28
"41","Tanti Pizza, Ciudad de Buenos Aires","miercoles",10,27.75,-34.5688319,-58.4553975,2021-03-28
"42","Tanti Pizza, Ciudad de Buenos Aires","miercoles",11,32.25,-34.5688319,-58.4553975,2021-03-28
"43","Tanti Pizza, Ciudad de Buenos Aires","miercoles",12,34.5,-34.5688319,-58.4553975,2021-03-28
"44","Tanti Pizza, Ciudad de Buenos Aires","miercoles",13,35.25,-34.5688319,-58.4553975,2021-03-28
"45","Tanti Pizza, Ciudad de Buenos Aires","miercoles",14,35.25,-34.5688319,-58.4553975,2021-03-28
"46","Tanti Pizza, Ciudad de Buenos Aires","miercoles",15,33.75,-34.5688319,-58.4553975,2021-03-28
"47","Tanti Pizza, Ciudad de Buenos Aires","miercoles",16,30.75,-34.5688319,-58.4553975,2021-03-28
"48","Tanti Pizza, Ciudad de Buenos Aires","miercoles",17,27.75,-34.5688319,-58.4553975,2021-03-28
"49","Tanti Pizza, Ciudad de Buenos Aires","miercoles",18,29.25,-34.5688319,-58.4553975,2021-03-28
"50","Tanti Pizza, Ciudad de Buenos Aires","miercoles",19,35.25,-34.5688319,-58.4553975,2021-03-28
"51","Tanti Pizza, Ciudad de Buenos Aires","miercoles",20,45.75,-34.5688319,-58.4553975,2021-03-28
"52","Tanti Pizza, Ciudad de Buenos Aires","miercoles",21,54,-34.5688319,-58.4553975,2021-03-28
"53","Tanti Pizza, Ciudad de Buenos Aires","miercoles",22,54,-34.5688319,-58.4553975,2021-03-28
"54","Tanti Pizza, Ciudad de Buenos Aires","miercoles",23,44.25,-34.5688319,-58.4553975,2021-03-28
"55","Tanti Pizza, Ciudad de Buenos Aires","jueves",6,0,-34.5688319,-58.4553975,2021-03-28
"56","Tanti Pizza, Ciudad de Buenos Aires","jueves",7,0,-34.5688319,-58.4553975,2021-03-28
"57","Tanti Pizza, Ciudad de Buenos Aires","jueves",8,12.75,-34.5688319,-58.4553975,2021-03-28
"58","Tanti Pizza, Ciudad de Buenos Aires","jueves",9,18.75,-34.5688319,-58.4553975,2021-03-28
"59","Tanti Pizza, Ciudad de Buenos Aires","jueves",10,26.25,-34.5688319,-58.4553975,2021-03-28
"60","Tanti Pizza, Ciudad de Buenos Aires","jueves",11,32.25,-34.5688319,-58.4553975,2021-03-28
"61","Tanti Pizza, Ciudad de Buenos Aires","jueves",12,37.5,-34.5688319,-58.4553975,2021-03-28
"62","Tanti Pizza, Ciudad de Buenos Aires","jueves",13,40.5,-34.5688319,-58.4553975,2021-03-28
"63","Tanti Pizza, Ciudad de Buenos Aires","jueves",14,41.25,-34.5688319,-58.4553975,2021-03-28
"64","Tanti Pizza, Ciudad de Buenos Aires","jueves",15,39,-34.5688319,-58.4553975,2021-03-28
"65","Tanti Pizza, Ciudad de Buenos Aires","jueves",16,41.25,-34.5688319,-58.4553975,2021-03-28
