"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Teglia, Ciudad de Buenos Aires","lunes",6,0,-34.6090958,-58.441294,2021-03-27
"2","Teglia, Ciudad de Buenos Aires","lunes",7,0,-34.6090958,-58.441294,2021-03-27
"3","Teglia, Ciudad de Buenos Aires","lunes",8,0,-34.6090958,-58.441294,2021-03-27
"4","Teglia, Ciudad de Buenos Aires","lunes",9,0,-34.6090958,-58.441294,2021-03-27
"5","Teglia, Ciudad de Buenos Aires","lunes",10,0,-34.6090958,-58.441294,2021-03-27
"6","Teglia, Ciudad de Buenos Aires","lunes",11,0,-34.6090958,-58.441294,2021-03-27
"7","Teglia, Ciudad de Buenos Aires","lunes",12,0,-34.6090958,-58.441294,2021-03-27
"8","Teglia, Ciudad de Buenos Aires","lunes",13,0,-34.6090958,-58.441294,2021-03-27
"9","Teglia, Ciudad de Buenos Aires","lunes",14,0,-34.6090958,-58.441294,2021-03-27
"10","Teglia, Ciudad de Buenos Aires","lunes",15,0,-34.6090958,-58.441294,2021-03-27
"11","Teglia, Ciudad de Buenos Aires","lunes",16,0,-34.6090958,-58.441294,2021-03-27
"12","Teglia, Ciudad de Buenos Aires","lunes",17,0,-34.6090958,-58.441294,2021-03-27
"13","Teglia, Ciudad de Buenos Aires","lunes",18,0,-34.6090958,-58.441294,2021-03-27
"14","Teglia, Ciudad de Buenos Aires","lunes",19,9.75,-34.6090958,-58.441294,2021-03-27
"15","Teglia, Ciudad de Buenos Aires","lunes",20,14.25,-34.6090958,-58.441294,2021-03-27
"16","Teglia, Ciudad de Buenos Aires","lunes",21,16.5,-34.6090958,-58.441294,2021-03-27
"17","Teglia, Ciudad de Buenos Aires","lunes",22,15,-34.6090958,-58.441294,2021-03-27
"18","Teglia, Ciudad de Buenos Aires","lunes",23,10.5,-34.6090958,-58.441294,2021-03-27
"19","Teglia, Ciudad de Buenos Aires","martes",6,0,-34.6090958,-58.441294,2021-03-27
"20","Teglia, Ciudad de Buenos Aires","martes",7,0,-34.6090958,-58.441294,2021-03-27
"21","Teglia, Ciudad de Buenos Aires","martes",8,0,-34.6090958,-58.441294,2021-03-27
"22","Teglia, Ciudad de Buenos Aires","martes",9,0,-34.6090958,-58.441294,2021-03-27
"23","Teglia, Ciudad de Buenos Aires","martes",10,0,-34.6090958,-58.441294,2021-03-27
"24","Teglia, Ciudad de Buenos Aires","martes",11,0,-34.6090958,-58.441294,2021-03-27
"25","Teglia, Ciudad de Buenos Aires","martes",12,0,-34.6090958,-58.441294,2021-03-27
"26","Teglia, Ciudad de Buenos Aires","martes",13,0,-34.6090958,-58.441294,2021-03-27
"27","Teglia, Ciudad de Buenos Aires","martes",14,0,-34.6090958,-58.441294,2021-03-27
"28","Teglia, Ciudad de Buenos Aires","martes",15,0,-34.6090958,-58.441294,2021-03-27
"29","Teglia, Ciudad de Buenos Aires","martes",16,0,-34.6090958,-58.441294,2021-03-27
"30","Teglia, Ciudad de Buenos Aires","martes",17,0,-34.6090958,-58.441294,2021-03-27
"31","Teglia, Ciudad de Buenos Aires","martes",18,0,-34.6090958,-58.441294,2021-03-27
"32","Teglia, Ciudad de Buenos Aires","martes",19,8.25,-34.6090958,-58.441294,2021-03-27
"33","Teglia, Ciudad de Buenos Aires","martes",20,20.25,-34.6090958,-58.441294,2021-03-27
"34","Teglia, Ciudad de Buenos Aires","martes",21,30.75,-34.6090958,-58.441294,2021-03-27
"35","Teglia, Ciudad de Buenos Aires","martes",22,28.5,-34.6090958,-58.441294,2021-03-27
"36","Teglia, Ciudad de Buenos Aires","martes",23,15.75,-34.6090958,-58.441294,2021-03-27
"37","Teglia, Ciudad de Buenos Aires","miercoles",6,0,-34.6090958,-58.441294,2021-03-27
"38","Teglia, Ciudad de Buenos Aires","miercoles",7,0,-34.6090958,-58.441294,2021-03-27
"39","Teglia, Ciudad de Buenos Aires","miercoles",8,0,-34.6090958,-58.441294,2021-03-27
"40","Teglia, Ciudad de Buenos Aires","miercoles",9,0,-34.6090958,-58.441294,2021-03-27
"41","Teglia, Ciudad de Buenos Aires","miercoles",10,0,-34.6090958,-58.441294,2021-03-27
"42","Teglia, Ciudad de Buenos Aires","miercoles",11,0,-34.6090958,-58.441294,2021-03-27
"43","Teglia, Ciudad de Buenos Aires","miercoles",12,0,-34.6090958,-58.441294,2021-03-27
"44","Teglia, Ciudad de Buenos Aires","miercoles",13,0,-34.6090958,-58.441294,2021-03-27
"45","Teglia, Ciudad de Buenos Aires","miercoles",14,0,-34.6090958,-58.441294,2021-03-27
"46","Teglia, Ciudad de Buenos Aires","miercoles",15,0,-34.6090958,-58.441294,2021-03-27
"47","Teglia, Ciudad de Buenos Aires","miercoles",16,0,-34.6090958,-58.441294,2021-03-27
"48","Teglia, Ciudad de Buenos Aires","miercoles",17,0,-34.6090958,-58.441294,2021-03-27
"49","Teglia, Ciudad de Buenos Aires","miercoles",18,0,-34.6090958,-58.441294,2021-03-27
"50","Teglia, Ciudad de Buenos Aires","miercoles",19,12.75,-34.6090958,-58.441294,2021-03-27
"51","Teglia, Ciudad de Buenos Aires","miercoles",20,20.25,-34.6090958,-58.441294,2021-03-27
"52","Teglia, Ciudad de Buenos Aires","miercoles",21,24,-34.6090958,-58.441294,2021-03-27
"53","Teglia, Ciudad de Buenos Aires","miercoles",22,20.25,-34.6090958,-58.441294,2021-03-27
