"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",6,0,-34.5546294,-58.6980746,2021-03-28
"2","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",7,0,-34.5546294,-58.6980746,2021-03-28
"3","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",8,15.75,-34.5546294,-58.6980746,2021-03-28
"4","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",9,30.75,-34.5546294,-58.6980746,2021-03-28
"5","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",10,42,-34.5546294,-58.6980746,2021-03-28
"6","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",11,43.5,-34.5546294,-58.6980746,2021-03-28
"7","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",12,38.25,-34.5546294,-58.6980746,2021-03-28
"8","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",13,33,-34.5546294,-58.6980746,2021-03-28
"9","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",14,26.25,-34.5546294,-58.6980746,2021-03-28
"10","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",15,18,-34.5546294,-58.6980746,2021-03-28
"11","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",16,15.75,-34.5546294,-58.6980746,2021-03-28
"12","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",17,23.25,-34.5546294,-58.6980746,2021-03-28
"13","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",18,32.25,-34.5546294,-58.6980746,2021-03-28
"14","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",19,27.75,-34.5546294,-58.6980746,2021-03-28
"15","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",20,0,-34.5546294,-58.6980746,2021-03-28
"16","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",21,0,-34.5546294,-58.6980746,2021-03-28
"17","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",22,0,-34.5546294,-58.6980746,2021-03-28
"18","The Coffee Store Bella Vista, Ciudad de Buenos Aires","lunes",23,0,-34.5546294,-58.6980746,2021-03-28
"19","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",6,0,-34.5546294,-58.6980746,2021-03-28
"20","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",7,0,-34.5546294,-58.6980746,2021-03-28
"21","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",8,10.5,-34.5546294,-58.6980746,2021-03-28
"22","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",9,23.25,-34.5546294,-58.6980746,2021-03-28
"23","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",10,35.25,-34.5546294,-58.6980746,2021-03-28
"24","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",11,38.25,-34.5546294,-58.6980746,2021-03-28
"25","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",12,30.75,-34.5546294,-58.6980746,2021-03-28
"26","The Coffee Store Bella Vista, Ciudad de Buenos Aires","martes",13,18.75,-34.5546294,-58.6980746,2021-03-28
