"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","The Malin Head, Ciudad de Buenos Aires","lunes",6,0,-34.6146865,-58.373276,2021-03-29
"2","The Malin Head, Ciudad de Buenos Aires","lunes",7,0,-34.6146865,-58.373276,2021-03-29
"3","The Malin Head, Ciudad de Buenos Aires","lunes",8,0,-34.6146865,-58.373276,2021-03-29
"4","The Malin Head, Ciudad de Buenos Aires","lunes",9,0,-34.6146865,-58.373276,2021-03-29
"5","The Malin Head, Ciudad de Buenos Aires","lunes",10,0,-34.6146865,-58.373276,2021-03-29
"6","The Malin Head, Ciudad de Buenos Aires","lunes",11,0,-34.6146865,-58.373276,2021-03-29
"7","The Malin Head, Ciudad de Buenos Aires","lunes",12,10.5,-34.6146865,-58.373276,2021-03-29
"8","The Malin Head, Ciudad de Buenos Aires","lunes",13,12.75,-34.6146865,-58.373276,2021-03-29
"9","The Malin Head, Ciudad de Buenos Aires","lunes",14,12.75,-34.6146865,-58.373276,2021-03-29
"10","The Malin Head, Ciudad de Buenos Aires","lunes",15,10.5,-34.6146865,-58.373276,2021-03-29
"11","The Malin Head, Ciudad de Buenos Aires","lunes",16,8.25,-34.6146865,-58.373276,2021-03-29
"12","The Malin Head, Ciudad de Buenos Aires","lunes",17,7.5,-34.6146865,-58.373276,2021-03-29
"13","The Malin Head, Ciudad de Buenos Aires","lunes",18,8.25,-34.6146865,-58.373276,2021-03-29
"14","The Malin Head, Ciudad de Buenos Aires","lunes",19,9.75,-34.6146865,-58.373276,2021-03-29
"15","The Malin Head, Ciudad de Buenos Aires","lunes",20,12.75,-34.6146865,-58.373276,2021-03-29
"16","The Malin Head, Ciudad de Buenos Aires","lunes",21,15,-34.6146865,-58.373276,2021-03-29
"17","The Malin Head, Ciudad de Buenos Aires","lunes",22,16.5,-34.6146865,-58.373276,2021-03-29
"18","The Malin Head, Ciudad de Buenos Aires","lunes",23,17.25,-34.6146865,-58.373276,2021-03-29
"19","The Malin Head, Ciudad de Buenos Aires","martes",0,16.5,-34.6146865,-58.373276,2021-03-29
"20","The Malin Head, Ciudad de Buenos Aires","martes",6,0,-34.6146865,-58.373276,2021-03-29
"21","The Malin Head, Ciudad de Buenos Aires","martes",7,0,-34.6146865,-58.373276,2021-03-29
"22","The Malin Head, Ciudad de Buenos Aires","martes",8,0,-34.6146865,-58.373276,2021-03-29
"23","The Malin Head, Ciudad de Buenos Aires","martes",9,0,-34.6146865,-58.373276,2021-03-29
"24","The Malin Head, Ciudad de Buenos Aires","martes",10,0,-34.6146865,-58.373276,2021-03-29
"25","The Malin Head, Ciudad de Buenos Aires","martes",11,0,-34.6146865,-58.373276,2021-03-29
"26","The Malin Head, Ciudad de Buenos Aires","martes",12,8.25,-34.6146865,-58.373276,2021-03-29
