"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","The Stand, Ciudad de Buenos Aires","lunes",6,0,-34.5980146,-58.4163835,2021-03-27
"2","The Stand, Ciudad de Buenos Aires","lunes",7,0,-34.5980146,-58.4163835,2021-03-27
"3","The Stand, Ciudad de Buenos Aires","lunes",8,0,-34.5980146,-58.4163835,2021-03-27
"4","The Stand, Ciudad de Buenos Aires","lunes",9,0,-34.5980146,-58.4163835,2021-03-27
"5","The Stand, Ciudad de Buenos Aires","lunes",10,0.75,-34.5980146,-58.4163835,2021-03-27
"6","The Stand, Ciudad de Buenos Aires","lunes",11,0.75,-34.5980146,-58.4163835,2021-03-27
"7","The Stand, Ciudad de Buenos Aires","lunes",12,0.75,-34.5980146,-58.4163835,2021-03-27
"8","The Stand, Ciudad de Buenos Aires","lunes",13,3.75,-34.5980146,-58.4163835,2021-03-27
"9","The Stand, Ciudad de Buenos Aires","lunes",14,4.5,-34.5980146,-58.4163835,2021-03-27
"10","The Stand, Ciudad de Buenos Aires","lunes",15,3.75,-34.5980146,-58.4163835,2021-03-27
"11","The Stand, Ciudad de Buenos Aires","lunes",16,0,-34.5980146,-58.4163835,2021-03-27
"12","The Stand, Ciudad de Buenos Aires","lunes",17,0,-34.5980146,-58.4163835,2021-03-27
"13","The Stand, Ciudad de Buenos Aires","lunes",18,13.5,-34.5980146,-58.4163835,2021-03-27
"14","The Stand, Ciudad de Buenos Aires","lunes",19,28.5,-34.5980146,-58.4163835,2021-03-27
"15","The Stand, Ciudad de Buenos Aires","lunes",20,39.75,-34.5980146,-58.4163835,2021-03-27
"16","The Stand, Ciudad de Buenos Aires","lunes",21,38.25,-34.5980146,-58.4163835,2021-03-27
"17","The Stand, Ciudad de Buenos Aires","lunes",22,26.25,-34.5980146,-58.4163835,2021-03-27
"18","The Stand, Ciudad de Buenos Aires","lunes",23,11.25,-34.5980146,-58.4163835,2021-03-27
"19","The Stand, Ciudad de Buenos Aires","martes",6,0,-34.5980146,-58.4163835,2021-03-27
"20","The Stand, Ciudad de Buenos Aires","martes",7,0,-34.5980146,-58.4163835,2021-03-27
"21","The Stand, Ciudad de Buenos Aires","martes",8,0,-34.5980146,-58.4163835,2021-03-27
"22","The Stand, Ciudad de Buenos Aires","martes",9,0,-34.5980146,-58.4163835,2021-03-27
"23","The Stand, Ciudad de Buenos Aires","martes",10,0.75,-34.5980146,-58.4163835,2021-03-27
"24","The Stand, Ciudad de Buenos Aires","martes",11,0.75,-34.5980146,-58.4163835,2021-03-27
"25","The Stand, Ciudad de Buenos Aires","martes",12,6,-34.5980146,-58.4163835,2021-03-27
"26","The Stand, Ciudad de Buenos Aires","martes",13,9.75,-34.5980146,-58.4163835,2021-03-27
"27","The Stand, Ciudad de Buenos Aires","martes",14,11.25,-34.5980146,-58.4163835,2021-03-27
"28","The Stand, Ciudad de Buenos Aires","martes",15,7.5,-34.5980146,-58.4163835,2021-03-27
"29","The Stand, Ciudad de Buenos Aires","martes",16,0,-34.5980146,-58.4163835,2021-03-27
"30","The Stand, Ciudad de Buenos Aires","martes",17,0,-34.5980146,-58.4163835,2021-03-27
"31","The Stand, Ciudad de Buenos Aires","martes",18,7.5,-34.5980146,-58.4163835,2021-03-27
"32","The Stand, Ciudad de Buenos Aires","martes",19,22.5,-34.5980146,-58.4163835,2021-03-27
"33","The Stand, Ciudad de Buenos Aires","martes",20,37.5,-34.5980146,-58.4163835,2021-03-27
"34","The Stand, Ciudad de Buenos Aires","martes",21,38.25,-34.5980146,-58.4163835,2021-03-27
"35","The Stand, Ciudad de Buenos Aires","martes",22,23.25,-34.5980146,-58.4163835,2021-03-27
"36","The Stand, Ciudad de Buenos Aires","martes",23,7.5,-34.5980146,-58.4163835,2021-03-27
"37","The Stand, Ciudad de Buenos Aires","miercoles",6,0,-34.5980146,-58.4163835,2021-03-27
"38","The Stand, Ciudad de Buenos Aires","miercoles",7,0,-34.5980146,-58.4163835,2021-03-27
"39","The Stand, Ciudad de Buenos Aires","miercoles",8,0,-34.5980146,-58.4163835,2021-03-27
"40","The Stand, Ciudad de Buenos Aires","miercoles",9,0,-34.5980146,-58.4163835,2021-03-27
"41","The Stand, Ciudad de Buenos Aires","miercoles",10,0.75,-34.5980146,-58.4163835,2021-03-27
"42","The Stand, Ciudad de Buenos Aires","miercoles",11,0.75,-34.5980146,-58.4163835,2021-03-27
"43","The Stand, Ciudad de Buenos Aires","miercoles",12,2.25,-34.5980146,-58.4163835,2021-03-27
"44","The Stand, Ciudad de Buenos Aires","miercoles",13,8.25,-34.5980146,-58.4163835,2021-03-27
"45","The Stand, Ciudad de Buenos Aires","miercoles",14,15,-34.5980146,-58.4163835,2021-03-27
"46","The Stand, Ciudad de Buenos Aires","miercoles",15,15.75,-34.5980146,-58.4163835,2021-03-27
"47","The Stand, Ciudad de Buenos Aires","miercoles",16,0,-34.5980146,-58.4163835,2021-03-27
"48","The Stand, Ciudad de Buenos Aires","miercoles",17,0,-34.5980146,-58.4163835,2021-03-27
"49","The Stand, Ciudad de Buenos Aires","miercoles",18,3.75,-34.5980146,-58.4163835,2021-03-27
"50","The Stand, Ciudad de Buenos Aires","miercoles",19,7.5,-34.5980146,-58.4163835,2021-03-27
"51","The Stand, Ciudad de Buenos Aires","miercoles",20,32.25,-34.5980146,-58.4163835,2021-03-27
"52","The Stand, Ciudad de Buenos Aires","miercoles",21,57,-34.5980146,-58.4163835,2021-03-27
"53","The Stand, Ciudad de Buenos Aires","miercoles",22,39.75,-34.5980146,-58.4163835,2021-03-27
"54","The Stand, Ciudad de Buenos Aires","miercoles",23,7.5,-34.5980146,-58.4163835,2021-03-27
"55","The Stand, Ciudad de Buenos Aires","jueves",6,0,-34.5980146,-58.4163835,2021-03-27
"56","The Stand, Ciudad de Buenos Aires","jueves",7,0,-34.5980146,-58.4163835,2021-03-27
"57","The Stand, Ciudad de Buenos Aires","jueves",8,0,-34.5980146,-58.4163835,2021-03-27
"58","The Stand, Ciudad de Buenos Aires","jueves",9,0,-34.5980146,-58.4163835,2021-03-27
"59","The Stand, Ciudad de Buenos Aires","jueves",10,3.75,-34.5980146,-58.4163835,2021-03-27
"60","The Stand, Ciudad de Buenos Aires","jueves",11,9.75,-34.5980146,-58.4163835,2021-03-27
"61","The Stand, Ciudad de Buenos Aires","jueves",12,15.75,-34.5980146,-58.4163835,2021-03-27
