"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","The Wrapée, Ciudad de Buenos Aires","lunes",6,0,-34.5814073,-58.4350551,2021-03-28
"2","The Wrapée, Ciudad de Buenos Aires","lunes",7,0,-34.5814073,-58.4350551,2021-03-28
"3","The Wrapée, Ciudad de Buenos Aires","lunes",8,0,-34.5814073,-58.4350551,2021-03-28
"4","The Wrapée, Ciudad de Buenos Aires","lunes",9,0,-34.5814073,-58.4350551,2021-03-28
"5","The Wrapée, Ciudad de Buenos Aires","lunes",10,0,-34.5814073,-58.4350551,2021-03-28
"6","The Wrapée, Ciudad de Buenos Aires","lunes",11,21,-34.5814073,-58.4350551,2021-03-28
"7","The Wrapée, Ciudad de Buenos Aires","lunes",12,31.5,-34.5814073,-58.4350551,2021-03-28
"8","The Wrapée, Ciudad de Buenos Aires","lunes",13,31.5,-34.5814073,-58.4350551,2021-03-28
"9","The Wrapée, Ciudad de Buenos Aires","lunes",14,33.75,-34.5814073,-58.4350551,2021-03-28
"10","The Wrapée, Ciudad de Buenos Aires","lunes",15,39.75,-34.5814073,-58.4350551,2021-03-28
"11","The Wrapée, Ciudad de Buenos Aires","lunes",16,31.5,-34.5814073,-58.4350551,2021-03-28
"12","The Wrapée, Ciudad de Buenos Aires","lunes",17,15.75,-34.5814073,-58.4350551,2021-03-28
"13","The Wrapée, Ciudad de Buenos Aires","lunes",18,14.25,-34.5814073,-58.4350551,2021-03-28
"14","The Wrapée, Ciudad de Buenos Aires","lunes",19,33.75,-34.5814073,-58.4350551,2021-03-28
"15","The Wrapée, Ciudad de Buenos Aires","lunes",20,58.5,-34.5814073,-58.4350551,2021-03-28
"16","The Wrapée, Ciudad de Buenos Aires","lunes",21,62.25,-34.5814073,-58.4350551,2021-03-28
"17","The Wrapée, Ciudad de Buenos Aires","lunes",22,39.75,-34.5814073,-58.4350551,2021-03-28
"18","The Wrapée, Ciudad de Buenos Aires","lunes",23,15.75,-34.5814073,-58.4350551,2021-03-28
"19","The Wrapée, Ciudad de Buenos Aires","martes",0,3,-34.5814073,-58.4350551,2021-03-28
"20","The Wrapée, Ciudad de Buenos Aires","martes",6,0,-34.5814073,-58.4350551,2021-03-28
"21","The Wrapée, Ciudad de Buenos Aires","martes",7,0,-34.5814073,-58.4350551,2021-03-28
"22","The Wrapée, Ciudad de Buenos Aires","martes",8,0,-34.5814073,-58.4350551,2021-03-28
"23","The Wrapée, Ciudad de Buenos Aires","martes",9,0,-34.5814073,-58.4350551,2021-03-28
"24","The Wrapée, Ciudad de Buenos Aires","martes",10,0,-34.5814073,-58.4350551,2021-03-28
"25","The Wrapée, Ciudad de Buenos Aires","martes",11,15,-34.5814073,-58.4350551,2021-03-28
"26","The Wrapée, Ciudad de Buenos Aires","martes",12,29.25,-34.5814073,-58.4350551,2021-03-28
"27","The Wrapée, Ciudad de Buenos Aires","martes",13,39.75,-34.5814073,-58.4350551,2021-03-28
"28","The Wrapée, Ciudad de Buenos Aires","martes",14,38.25,-34.5814073,-58.4350551,2021-03-28
"29","The Wrapée, Ciudad de Buenos Aires","martes",15,26.25,-34.5814073,-58.4350551,2021-03-28
"30","The Wrapée, Ciudad de Buenos Aires","martes",16,12.75,-34.5814073,-58.4350551,2021-03-28
"31","The Wrapée, Ciudad de Buenos Aires","martes",17,6.75,-34.5814073,-58.4350551,2021-03-28
"32","The Wrapée, Ciudad de Buenos Aires","martes",18,10.5,-34.5814073,-58.4350551,2021-03-28
"33","The Wrapée, Ciudad de Buenos Aires","martes",19,24,-34.5814073,-58.4350551,2021-03-28
"34","The Wrapée, Ciudad de Buenos Aires","martes",20,43.5,-34.5814073,-58.4350551,2021-03-28
"35","The Wrapée, Ciudad de Buenos Aires","martes",21,53.25,-34.5814073,-58.4350551,2021-03-28
"36","The Wrapée, Ciudad de Buenos Aires","martes",22,45.75,-34.5814073,-58.4350551,2021-03-28
"37","The Wrapée, Ciudad de Buenos Aires","martes",23,27,-34.5814073,-58.4350551,2021-03-28
"38","The Wrapée, Ciudad de Buenos Aires","miercoles",0,10.5,-34.5814073,-58.4350551,2021-03-28
"39","The Wrapée, Ciudad de Buenos Aires","miercoles",6,0,-34.5814073,-58.4350551,2021-03-28
"40","The Wrapée, Ciudad de Buenos Aires","miercoles",7,0,-34.5814073,-58.4350551,2021-03-28
"41","The Wrapée, Ciudad de Buenos Aires","miercoles",8,0,-34.5814073,-58.4350551,2021-03-28
