"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Tierra de Nadie, Ciudad de Buenos Aires","lunes",6,0,-34.6147397,-58.4393125,2021-03-26
"2","Tierra de Nadie, Ciudad de Buenos Aires","lunes",7,0,-34.6147397,-58.4393125,2021-03-26
"3","Tierra de Nadie, Ciudad de Buenos Aires","lunes",8,0,-34.6147397,-58.4393125,2021-03-26
"4","Tierra de Nadie, Ciudad de Buenos Aires","lunes",9,0,-34.6147397,-58.4393125,2021-03-26
"5","Tierra de Nadie, Ciudad de Buenos Aires","lunes",10,0,-34.6147397,-58.4393125,2021-03-26
"6","Tierra de Nadie, Ciudad de Buenos Aires","lunes",11,0,-34.6147397,-58.4393125,2021-03-26
"7","Tierra de Nadie, Ciudad de Buenos Aires","lunes",12,7.5,-34.6147397,-58.4393125,2021-03-26
"8","Tierra de Nadie, Ciudad de Buenos Aires","lunes",13,9.75,-34.6147397,-58.4393125,2021-03-26
"9","Tierra de Nadie, Ciudad de Buenos Aires","lunes",14,12,-34.6147397,-58.4393125,2021-03-26
"10","Tierra de Nadie, Ciudad de Buenos Aires","lunes",15,12,-34.6147397,-58.4393125,2021-03-26
"11","Tierra de Nadie, Ciudad de Buenos Aires","lunes",16,11.25,-34.6147397,-58.4393125,2021-03-26
"12","Tierra de Nadie, Ciudad de Buenos Aires","lunes",17,9.75,-34.6147397,-58.4393125,2021-03-26
"13","Tierra de Nadie, Ciudad de Buenos Aires","lunes",18,10.5,-34.6147397,-58.4393125,2021-03-26
"14","Tierra de Nadie, Ciudad de Buenos Aires","lunes",19,18,-34.6147397,-58.4393125,2021-03-26
"15","Tierra de Nadie, Ciudad de Buenos Aires","lunes",20,32.25,-34.6147397,-58.4393125,2021-03-26
"16","Tierra de Nadie, Ciudad de Buenos Aires","lunes",21,42,-34.6147397,-58.4393125,2021-03-26
"17","Tierra de Nadie, Ciudad de Buenos Aires","lunes",22,36,-34.6147397,-58.4393125,2021-03-26
"18","Tierra de Nadie, Ciudad de Buenos Aires","lunes",23,19.5,-34.6147397,-58.4393125,2021-03-26
"19","Tierra de Nadie, Ciudad de Buenos Aires","martes",6,0,-34.6147397,-58.4393125,2021-03-26
"20","Tierra de Nadie, Ciudad de Buenos Aires","martes",7,0,-34.6147397,-58.4393125,2021-03-26
"21","Tierra de Nadie, Ciudad de Buenos Aires","martes",8,0,-34.6147397,-58.4393125,2021-03-26
"22","Tierra de Nadie, Ciudad de Buenos Aires","martes",9,0,-34.6147397,-58.4393125,2021-03-26
"23","Tierra de Nadie, Ciudad de Buenos Aires","martes",10,0,-34.6147397,-58.4393125,2021-03-26
"24","Tierra de Nadie, Ciudad de Buenos Aires","martes",11,0,-34.6147397,-58.4393125,2021-03-26
"25","Tierra de Nadie, Ciudad de Buenos Aires","martes",12,9.75,-34.6147397,-58.4393125,2021-03-26
"26","Tierra de Nadie, Ciudad de Buenos Aires","martes",13,13.5,-34.6147397,-58.4393125,2021-03-26
"27","Tierra de Nadie, Ciudad de Buenos Aires","martes",14,16.5,-34.6147397,-58.4393125,2021-03-26
"28","Tierra de Nadie, Ciudad de Buenos Aires","martes",15,15,-34.6147397,-58.4393125,2021-03-26
"29","Tierra de Nadie, Ciudad de Buenos Aires","martes",16,12,-34.6147397,-58.4393125,2021-03-26
"30","Tierra de Nadie, Ciudad de Buenos Aires","martes",17,7.5,-34.6147397,-58.4393125,2021-03-26
"31","Tierra de Nadie, Ciudad de Buenos Aires","martes",18,7.5,-34.6147397,-58.4393125,2021-03-26
"32","Tierra de Nadie, Ciudad de Buenos Aires","martes",19,16.5,-34.6147397,-58.4393125,2021-03-26
"33","Tierra de Nadie, Ciudad de Buenos Aires","martes",20,32.25,-34.6147397,-58.4393125,2021-03-26
"34","Tierra de Nadie, Ciudad de Buenos Aires","martes",21,42,-34.6147397,-58.4393125,2021-03-26
"35","Tierra de Nadie, Ciudad de Buenos Aires","martes",22,33.75,-34.6147397,-58.4393125,2021-03-26
"36","Tierra de Nadie, Ciudad de Buenos Aires","martes",23,16.5,-34.6147397,-58.4393125,2021-03-26
"37","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",6,0,-34.6147397,-58.4393125,2021-03-26
"38","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",7,0,-34.6147397,-58.4393125,2021-03-26
"39","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",8,0,-34.6147397,-58.4393125,2021-03-26
"40","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",9,0,-34.6147397,-58.4393125,2021-03-26
"41","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",10,0,-34.6147397,-58.4393125,2021-03-26
"42","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",11,0,-34.6147397,-58.4393125,2021-03-26
"43","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",12,7.5,-34.6147397,-58.4393125,2021-03-26
"44","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",13,9,-34.6147397,-58.4393125,2021-03-26
"45","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",14,11.25,-34.6147397,-58.4393125,2021-03-26
"46","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",15,12,-34.6147397,-58.4393125,2021-03-26
"47","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",16,12,-34.6147397,-58.4393125,2021-03-26
"48","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",17,12,-34.6147397,-58.4393125,2021-03-26
"49","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",18,12,-34.6147397,-58.4393125,2021-03-26
"50","Tierra de Nadie, Ciudad de Buenos Aires","miercoles",19,15,-34.6147397,-58.4393125,2021-03-26
