"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Tio Pepe, Ciudad de Buenos Aires","martes",6,0,-34.6021234,-58.3973356,2021-03-28
"2","Tio Pepe, Ciudad de Buenos Aires","martes",7,20.25,-34.6021234,-58.3973356,2021-03-28
"3","Tio Pepe, Ciudad de Buenos Aires","martes",8,30,-34.6021234,-58.3973356,2021-03-28
"4","Tio Pepe, Ciudad de Buenos Aires","martes",9,42,-34.6021234,-58.3973356,2021-03-28
"5","Tio Pepe, Ciudad de Buenos Aires","martes",10,51,-34.6021234,-58.3973356,2021-03-28
"6","Tio Pepe, Ciudad de Buenos Aires","martes",11,55.5,-34.6021234,-58.3973356,2021-03-28
"7","Tio Pepe, Ciudad de Buenos Aires","martes",12,55.5,-34.6021234,-58.3973356,2021-03-28
"8","Tio Pepe, Ciudad de Buenos Aires","martes",13,53.25,-34.6021234,-58.3973356,2021-03-28
"9","Tio Pepe, Ciudad de Buenos Aires","martes",14,49.5,-34.6021234,-58.3973356,2021-03-28
"10","Tio Pepe, Ciudad de Buenos Aires","martes",15,47.25,-34.6021234,-58.3973356,2021-03-28
"11","Tio Pepe, Ciudad de Buenos Aires","martes",16,45.75,-34.6021234,-58.3973356,2021-03-28
"12","Tio Pepe, Ciudad de Buenos Aires","martes",17,44.25,-34.6021234,-58.3973356,2021-03-28
"13","Tio Pepe, Ciudad de Buenos Aires","martes",18,41.25,-34.6021234,-58.3973356,2021-03-28
"14","Tio Pepe, Ciudad de Buenos Aires","martes",19,36,-34.6021234,-58.3973356,2021-03-28
"15","Tio Pepe, Ciudad de Buenos Aires","martes",20,29.25,-34.6021234,-58.3973356,2021-03-28
"16","Tio Pepe, Ciudad de Buenos Aires","martes",21,0,-34.6021234,-58.3973356,2021-03-28
"17","Tio Pepe, Ciudad de Buenos Aires","martes",22,0,-34.6021234,-58.3973356,2021-03-28
"18","Tio Pepe, Ciudad de Buenos Aires","martes",23,0,-34.6021234,-58.3973356,2021-03-28
"19","Tio Pepe, Ciudad de Buenos Aires","miercoles",6,0,-34.6021234,-58.3973356,2021-03-28
"20","Tio Pepe, Ciudad de Buenos Aires","miercoles",7,18.75,-34.6021234,-58.3973356,2021-03-28
"21","Tio Pepe, Ciudad de Buenos Aires","miercoles",8,29.25,-34.6021234,-58.3973356,2021-03-28
"22","Tio Pepe, Ciudad de Buenos Aires","miercoles",9,41.25,-34.6021234,-58.3973356,2021-03-28
"23","Tio Pepe, Ciudad de Buenos Aires","miercoles",10,49.5,-34.6021234,-58.3973356,2021-03-28
"24","Tio Pepe, Ciudad de Buenos Aires","miercoles",11,51,-34.6021234,-58.3973356,2021-03-28
