"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",6,0,-34.5990095,-58.4522507,2021-03-27
"2","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",7,17.25,-34.5990095,-58.4522507,2021-03-27
"3","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",8,30.75,-34.5990095,-58.4522507,2021-03-27
"4","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",9,35.25,-34.5990095,-58.4522507,2021-03-27
"5","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",10,37.5,-34.5990095,-58.4522507,2021-03-27
"6","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",11,46.5,-34.5990095,-58.4522507,2021-03-27
"7","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",12,59.25,-34.5990095,-58.4522507,2021-03-27
"8","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",13,64.5,-34.5990095,-58.4522507,2021-03-27
"9","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",14,57.75,-34.5990095,-58.4522507,2021-03-27
"10","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",15,42,-34.5990095,-58.4522507,2021-03-27
"11","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",16,24,-34.5990095,-58.4522507,2021-03-27
"12","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",17,10.5,-34.5990095,-58.4522507,2021-03-27
"13","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",18,0,-34.5990095,-58.4522507,2021-03-27
"14","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",19,0,-34.5990095,-58.4522507,2021-03-27
"15","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",20,0,-34.5990095,-58.4522507,2021-03-27
"16","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",21,0,-34.5990095,-58.4522507,2021-03-27
"17","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",22,0,-34.5990095,-58.4522507,2021-03-27
"18","Tiro Loco Restaurant, Ciudad de Buenos Aires","lunes",23,0,-34.5990095,-58.4522507,2021-03-27
"19","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",6,0,-34.5990095,-58.4522507,2021-03-27
"20","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",7,12,-34.5990095,-58.4522507,2021-03-27
"21","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",8,32.25,-34.5990095,-58.4522507,2021-03-27
"22","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",9,45,-34.5990095,-58.4522507,2021-03-27
"23","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",10,43.5,-34.5990095,-58.4522507,2021-03-27
"24","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",11,47.25,-34.5990095,-58.4522507,2021-03-27
"25","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",12,58.5,-34.5990095,-58.4522507,2021-03-27
"26","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",13,66.75,-34.5990095,-58.4522507,2021-03-27
"27","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",14,61.5,-34.5990095,-58.4522507,2021-03-27
"28","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",15,45.75,-34.5990095,-58.4522507,2021-03-27
"29","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",16,27,-34.5990095,-58.4522507,2021-03-27
"30","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",17,12,-34.5990095,-58.4522507,2021-03-27
"31","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",18,0,-34.5990095,-58.4522507,2021-03-27
"32","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",19,0,-34.5990095,-58.4522507,2021-03-27
"33","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",20,0,-34.5990095,-58.4522507,2021-03-27
"34","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",21,0,-34.5990095,-58.4522507,2021-03-27
"35","Tiro Loco Restaurant, Ciudad de Buenos Aires","martes",22,0,-34.5990095,-58.4522507,2021-03-27
