"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Todo Mundo, Ciudad de Buenos Aires","lunes",6,0,-34.620584,-58.37219,2021-03-29
"2","Todo Mundo, Ciudad de Buenos Aires","lunes",7,0,-34.620584,-58.37219,2021-03-29
"3","Todo Mundo, Ciudad de Buenos Aires","lunes",8,0,-34.620584,-58.37219,2021-03-29
"4","Todo Mundo, Ciudad de Buenos Aires","lunes",9,5.25,-34.620584,-58.37219,2021-03-29
"5","Todo Mundo, Ciudad de Buenos Aires","lunes",10,6.75,-34.620584,-58.37219,2021-03-29
"6","Todo Mundo, Ciudad de Buenos Aires","lunes",11,9,-34.620584,-58.37219,2021-03-29
"7","Todo Mundo, Ciudad de Buenos Aires","lunes",12,10.5,-34.620584,-58.37219,2021-03-29
"8","Todo Mundo, Ciudad de Buenos Aires","lunes",13,11.25,-34.620584,-58.37219,2021-03-29
"9","Todo Mundo, Ciudad de Buenos Aires","lunes",14,12,-34.620584,-58.37219,2021-03-29
"10","Todo Mundo, Ciudad de Buenos Aires","lunes",15,12,-34.620584,-58.37219,2021-03-29
"11","Todo Mundo, Ciudad de Buenos Aires","lunes",16,11.25,-34.620584,-58.37219,2021-03-29
"12","Todo Mundo, Ciudad de Buenos Aires","lunes",17,10.5,-34.620584,-58.37219,2021-03-29
"13","Todo Mundo, Ciudad de Buenos Aires","lunes",18,9,-34.620584,-58.37219,2021-03-29
"14","Todo Mundo, Ciudad de Buenos Aires","lunes",19,9,-34.620584,-58.37219,2021-03-29
"15","Todo Mundo, Ciudad de Buenos Aires","lunes",20,12,-34.620584,-58.37219,2021-03-29
"16","Todo Mundo, Ciudad de Buenos Aires","lunes",21,21,-34.620584,-58.37219,2021-03-29
"17","Todo Mundo, Ciudad de Buenos Aires","lunes",22,30,-34.620584,-58.37219,2021-03-29
"18","Todo Mundo, Ciudad de Buenos Aires","lunes",23,30,-34.620584,-58.37219,2021-03-29
"19","Todo Mundo, Ciudad de Buenos Aires","martes",0,19.5,-34.620584,-58.37219,2021-03-29
"20","Todo Mundo, Ciudad de Buenos Aires","martes",1,8.25,-34.620584,-58.37219,2021-03-29
"21","Todo Mundo, Ciudad de Buenos Aires","martes",2,3,-34.620584,-58.37219,2021-03-29
"22","Todo Mundo, Ciudad de Buenos Aires","martes",6,0,-34.620584,-58.37219,2021-03-29
"23","Todo Mundo, Ciudad de Buenos Aires","martes",7,0,-34.620584,-58.37219,2021-03-29
"24","Todo Mundo, Ciudad de Buenos Aires","martes",8,0,-34.620584,-58.37219,2021-03-29
"25","Todo Mundo, Ciudad de Buenos Aires","martes",9,3,-34.620584,-58.37219,2021-03-29
"26","Todo Mundo, Ciudad de Buenos Aires","martes",10,6,-34.620584,-58.37219,2021-03-29
"27","Todo Mundo, Ciudad de Buenos Aires","martes",11,9,-34.620584,-58.37219,2021-03-29
"28","Todo Mundo, Ciudad de Buenos Aires","martes",12,11.25,-34.620584,-58.37219,2021-03-29
"29","Todo Mundo, Ciudad de Buenos Aires","martes",13,12.75,-34.620584,-58.37219,2021-03-29
"30","Todo Mundo, Ciudad de Buenos Aires","martes",14,12.75,-34.620584,-58.37219,2021-03-29
"31","Todo Mundo, Ciudad de Buenos Aires","martes",15,12,-34.620584,-58.37219,2021-03-29
"32","Todo Mundo, Ciudad de Buenos Aires","martes",16,10.5,-34.620584,-58.37219,2021-03-29
"33","Todo Mundo, Ciudad de Buenos Aires","martes",17,10.5,-34.620584,-58.37219,2021-03-29
"34","Todo Mundo, Ciudad de Buenos Aires","martes",18,10.5,-34.620584,-58.37219,2021-03-29
"35","Todo Mundo, Ciudad de Buenos Aires","martes",19,11.25,-34.620584,-58.37219,2021-03-29
"36","Todo Mundo, Ciudad de Buenos Aires","martes",20,11.25,-34.620584,-58.37219,2021-03-29
"37","Todo Mundo, Ciudad de Buenos Aires","martes",21,11.25,-34.620584,-58.37219,2021-03-29
"38","Todo Mundo, Ciudad de Buenos Aires","martes",22,10.5,-34.620584,-58.37219,2021-03-29
"39","Todo Mundo, Ciudad de Buenos Aires","martes",23,9.75,-34.620584,-58.37219,2021-03-29
"40","Todo Mundo, Ciudad de Buenos Aires","miercoles",0,8.25,-34.620584,-58.37219,2021-03-29
"41","Todo Mundo, Ciudad de Buenos Aires","miercoles",1,6.75,-34.620584,-58.37219,2021-03-29
"42","Todo Mundo, Ciudad de Buenos Aires","miercoles",2,5.25,-34.620584,-58.37219,2021-03-29
"43","Todo Mundo, Ciudad de Buenos Aires","miercoles",6,0,-34.620584,-58.37219,2021-03-29
"44","Todo Mundo, Ciudad de Buenos Aires","miercoles",7,0,-34.620584,-58.37219,2021-03-29
"45","Todo Mundo, Ciudad de Buenos Aires","miercoles",8,0,-34.620584,-58.37219,2021-03-29
