"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",6,0,-34.5927985,-58.4031105,2021-03-28
"2","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",7,0,-34.5927985,-58.4031105,2021-03-28
"3","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",8,0,-34.5927985,-58.4031105,2021-03-28
"4","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",9,0,-34.5927985,-58.4031105,2021-03-28
"5","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",10,0,-34.5927985,-58.4031105,2021-03-28
"6","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",11,7.5,-34.5927985,-58.4031105,2021-03-28
"7","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",12,16.5,-34.5927985,-58.4031105,2021-03-28
"8","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",13,24,-34.5927985,-58.4031105,2021-03-28
"9","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",14,27,-34.5927985,-58.4031105,2021-03-28
"10","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",15,23.25,-34.5927985,-58.4031105,2021-03-28
"11","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",16,17.25,-34.5927985,-58.4031105,2021-03-28
"12","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",17,14.25,-34.5927985,-58.4031105,2021-03-28
"13","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",18,19.5,-34.5927985,-58.4031105,2021-03-28
"14","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",19,33,-34.5927985,-58.4031105,2021-03-28
"15","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",20,43.5,-34.5927985,-58.4031105,2021-03-28
"16","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",21,42,-34.5927985,-58.4031105,2021-03-28
"17","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",22,30,-34.5927985,-58.4031105,2021-03-28
"18","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","lunes",23,0,-34.5927985,-58.4031105,2021-03-28
"19","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",6,0,-34.58253,-58.407015,2021-03-28
"20","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",7,0,-34.58253,-58.407015,2021-03-28
"21","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",8,0,-34.58253,-58.407015,2021-03-28
"22","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",9,0,-34.58253,-58.407015,2021-03-28
"23","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",10,0,-34.58253,-58.407015,2021-03-28
"24","Trak Pollo a Las Brasas, Ciudad de Buenos Aires","martes",11,13.5,-34.58253,-58.407015,2021-03-28
