"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Twochurros, Ciudad de Buenos Aires","lunes",6,0,-34.6010114,-58.5129091,2021-03-28
"2","Twochurros, Ciudad de Buenos Aires","lunes",7,0,-34.6010114,-58.5129091,2021-03-28
"3","Twochurros, Ciudad de Buenos Aires","lunes",8,0,-34.6010114,-58.5129091,2021-03-28
"4","Twochurros, Ciudad de Buenos Aires","lunes",9,0,-34.6010114,-58.5129091,2021-03-28
"5","Twochurros, Ciudad de Buenos Aires","lunes",10,0,-34.6010114,-58.5129091,2021-03-28
"6","Twochurros, Ciudad de Buenos Aires","lunes",11,0,-34.6010114,-58.5129091,2021-03-28
"7","Twochurros, Ciudad de Buenos Aires","lunes",12,0,-34.6010114,-58.5129091,2021-03-28
"8","Twochurros, Ciudad de Buenos Aires","lunes",13,0,-34.6010114,-58.5129091,2021-03-28
"9","Twochurros, Ciudad de Buenos Aires","lunes",14,0,-34.6010114,-58.5129091,2021-03-28
"10","Twochurros, Ciudad de Buenos Aires","lunes",15,9.75,-34.6010114,-58.5129091,2021-03-28
"11","Twochurros, Ciudad de Buenos Aires","lunes",16,21,-34.6010114,-58.5129091,2021-03-28
"12","Twochurros, Ciudad de Buenos Aires","lunes",17,40.5,-34.6010114,-58.5129091,2021-03-28
"13","Twochurros, Ciudad de Buenos Aires","lunes",18,45.75,-34.6010114,-58.5129091,2021-03-28
"14","Twochurros, Ciudad de Buenos Aires","lunes",19,27,-34.6010114,-58.5129091,2021-03-28
"15","Twochurros, Ciudad de Buenos Aires","lunes",20,0,-34.6010114,-58.5129091,2021-03-28
"16","Twochurros, Ciudad de Buenos Aires","lunes",21,0,-34.6010114,-58.5129091,2021-03-28
"17","Twochurros, Ciudad de Buenos Aires","lunes",22,0,-34.6010114,-58.5129091,2021-03-28
"18","Twochurros, Ciudad de Buenos Aires","lunes",23,0,-34.6010114,-58.5129091,2021-03-28
"19","Twochurros, Ciudad de Buenos Aires","martes",6,0,-34.6010114,-58.5129091,2021-03-28
"20","Twochurros, Ciudad de Buenos Aires","martes",7,0,-34.6010114,-58.5129091,2021-03-28
"21","Twochurros, Ciudad de Buenos Aires","martes",8,0,-34.6010114,-58.5129091,2021-03-28
"22","Twochurros, Ciudad de Buenos Aires","martes",9,0,-34.6010114,-58.5129091,2021-03-28
"23","Twochurros, Ciudad de Buenos Aires","martes",10,0,-34.6010114,-58.5129091,2021-03-28
"24","Twochurros, Ciudad de Buenos Aires","martes",11,0,-34.6010114,-58.5129091,2021-03-28
"25","Twochurros, Ciudad de Buenos Aires","martes",12,0,-34.6010114,-58.5129091,2021-03-28
"26","Twochurros, Ciudad de Buenos Aires","martes",13,0,-34.6010114,-58.5129091,2021-03-28
"27","Twochurros, Ciudad de Buenos Aires","martes",14,0,-34.6010114,-58.5129091,2021-03-28
"28","Twochurros, Ciudad de Buenos Aires","martes",15,18.75,-34.6010114,-58.5129091,2021-03-28
"29","Twochurros, Ciudad de Buenos Aires","martes",16,35.25,-34.6010114,-58.5129091,2021-03-28
"30","Twochurros, Ciudad de Buenos Aires","martes",17,48,-34.6010114,-58.5129091,2021-03-28
"31","Twochurros, Ciudad de Buenos Aires","martes",18,45,-34.6010114,-58.5129091,2021-03-28
"32","Twochurros, Ciudad de Buenos Aires","martes",19,28.5,-34.6010114,-58.5129091,2021-03-28
"33","Twochurros, Ciudad de Buenos Aires","martes",20,0,-34.6010114,-58.5129091,2021-03-28
"34","Twochurros, Ciudad de Buenos Aires","martes",21,0,-34.6010114,-58.5129091,2021-03-28
"35","Twochurros, Ciudad de Buenos Aires","martes",22,0,-34.6010114,-58.5129091,2021-03-28
"36","Twochurros, Ciudad de Buenos Aires","martes",23,0,-34.6010114,-58.5129091,2021-03-28
"37","Twochurros, Ciudad de Buenos Aires","miercoles",6,0,-34.6010114,-58.5129091,2021-03-28
"38","Twochurros, Ciudad de Buenos Aires","miercoles",7,0,-34.6010114,-58.5129091,2021-03-28
"39","Twochurros, Ciudad de Buenos Aires","miercoles",8,0,-34.6010114,-58.5129091,2021-03-28
"40","Twochurros, Ciudad de Buenos Aires","miercoles",9,0,-34.6010114,-58.5129091,2021-03-28
"41","Twochurros, Ciudad de Buenos Aires","miercoles",10,0,-34.6010114,-58.5129091,2021-03-28
"42","Twochurros, Ciudad de Buenos Aires","miercoles",11,0,-34.6010114,-58.5129091,2021-03-28
"43","Twochurros, Ciudad de Buenos Aires","miercoles",12,0,-34.6010114,-58.5129091,2021-03-28
"44","Twochurros, Ciudad de Buenos Aires","miercoles",13,0,-34.6010114,-58.5129091,2021-03-28
"45","Twochurros, Ciudad de Buenos Aires","miercoles",14,0,-34.6010114,-58.5129091,2021-03-28
"46","Twochurros, Ciudad de Buenos Aires","miercoles",15,10.5,-34.6010114,-58.5129091,2021-03-28
"47","Twochurros, Ciudad de Buenos Aires","miercoles",16,24.75,-34.6010114,-58.5129091,2021-03-28
"48","Twochurros, Ciudad de Buenos Aires","miercoles",17,36,-34.6010114,-58.5129091,2021-03-28
"49","Twochurros, Ciudad de Buenos Aires","miercoles",18,32.25,-34.6010114,-58.5129091,2021-03-28
"50","Twochurros, Ciudad de Buenos Aires","miercoles",19,18.75,-34.6010114,-58.5129091,2021-03-28
"51","Twochurros, Ciudad de Buenos Aires","miercoles",20,0,-34.6010114,-58.5129091,2021-03-28
