"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",6,0,-34.6085792,-58.4298313,2021-03-29
"2","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",7,0,-34.6085792,-58.4298313,2021-03-29
"3","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",8,14.25,-34.6085792,-58.4298313,2021-03-29
"4","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",9,16.5,-34.6085792,-58.4298313,2021-03-29
"5","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",10,19.5,-34.6085792,-58.4298313,2021-03-29
"6","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",11,33.75,-34.6085792,-58.4298313,2021-03-29
"7","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",12,45.75,-34.6085792,-58.4298313,2021-03-29
"8","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",13,42.75,-34.6085792,-58.4298313,2021-03-29
"9","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",14,28.5,-34.6085792,-58.4298313,2021-03-29
"10","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",15,14.25,-34.6085792,-58.4298313,2021-03-29
"11","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",16,0,-34.6085792,-58.4298313,2021-03-29
"12","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",17,0,-34.6085792,-58.4298313,2021-03-29
"13","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",18,0,-34.6085792,-58.4298313,2021-03-29
"14","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",19,0,-34.6085792,-58.4298313,2021-03-29
"15","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",20,0,-34.6085792,-58.4298313,2021-03-29
"16","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",21,0,-34.6085792,-58.4298313,2021-03-29
"17","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",22,0,-34.6085792,-58.4298313,2021-03-29
"18","Viavenetto Palermo, Ciudad de Buenos Aires","lunes",23,0,-34.6085792,-58.4298313,2021-03-29
"19","Viavenetto Palermo, Ciudad de Buenos Aires","martes",6,0,-34.6085792,-58.4298313,2021-03-29
"20","Viavenetto Palermo, Ciudad de Buenos Aires","martes",7,0,-34.6085792,-58.4298313,2021-03-29
"21","Viavenetto Palermo, Ciudad de Buenos Aires","martes",8,10.5,-34.6085792,-58.4298313,2021-03-29
"22","Viavenetto Palermo, Ciudad de Buenos Aires","martes",9,24.75,-34.6085792,-58.4298313,2021-03-29
"23","Viavenetto Palermo, Ciudad de Buenos Aires","martes",10,19.5,-34.6085792,-58.4298313,2021-03-29
"24","Viavenetto Palermo, Ciudad de Buenos Aires","martes",11,21.75,-34.6085792,-58.4298313,2021-03-29
"25","Viavenetto Palermo, Ciudad de Buenos Aires","martes",12,47.25,-34.6085792,-58.4298313,2021-03-29
"26","Viavenetto Palermo, Ciudad de Buenos Aires","martes",13,54.75,-34.6085792,-58.4298313,2021-03-29
"27","Viavenetto Palermo, Ciudad de Buenos Aires","martes",14,35.25,-34.6085792,-58.4298313,2021-03-29
"28","Viavenetto Palermo, Ciudad de Buenos Aires","martes",15,24,-34.6085792,-58.4298313,2021-03-29
"29","Viavenetto Palermo, Ciudad de Buenos Aires","martes",16,0,-34.6085792,-58.4298313,2021-03-29
"30","Viavenetto Palermo, Ciudad de Buenos Aires","martes",17,24.75,-34.6085792,-58.4298313,2021-03-29
"31","Viavenetto Palermo, Ciudad de Buenos Aires","martes",18,24.75,-34.6085792,-58.4298313,2021-03-29
"32","Viavenetto Palermo, Ciudad de Buenos Aires","martes",19,21.75,-34.6085792,-58.4298313,2021-03-29
"33","Viavenetto Palermo, Ciudad de Buenos Aires","martes",20,18.75,-34.6085792,-58.4298313,2021-03-29
"34","Viavenetto Palermo, Ciudad de Buenos Aires","martes",21,0,-34.6085792,-58.4298313,2021-03-29
"35","Viavenetto Palermo, Ciudad de Buenos Aires","martes",22,0,-34.6085792,-58.4298313,2021-03-29
"36","Viavenetto Palermo, Ciudad de Buenos Aires","martes",23,0,-34.6085792,-58.4298313,2021-03-29
"37","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",6,0,-34.6085792,-58.4298313,2021-03-29
"38","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",7,0,-34.6085792,-58.4298313,2021-03-29
"39","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",8,12.75,-34.6085792,-58.4298313,2021-03-29
"40","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",9,19.5,-34.6085792,-58.4298313,2021-03-29
"41","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",10,28.5,-34.6085792,-58.4298313,2021-03-29
"42","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",11,36,-34.6085792,-58.4298313,2021-03-29
"43","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",12,41.25,-34.6085792,-58.4298313,2021-03-29
"44","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",13,40.5,-34.6085792,-58.4298313,2021-03-29
"45","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",14,31.5,-34.6085792,-58.4298313,2021-03-29
"46","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",15,21.75,-34.6085792,-58.4298313,2021-03-29
"47","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",16,0,-34.6085792,-58.4298313,2021-03-29
"48","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",17,19.5,-34.6085792,-58.4298313,2021-03-29
"49","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",18,26.25,-34.6085792,-58.4298313,2021-03-29
"50","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",19,24.75,-34.6085792,-58.4298313,2021-03-29
"51","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",20,14.25,-34.6085792,-58.4298313,2021-03-29
"52","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",21,0,-34.6085792,-58.4298313,2021-03-29
"53","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",22,0,-34.6085792,-58.4298313,2021-03-29
"54","Viavenetto Palermo, Ciudad de Buenos Aires","miercoles",23,0,-34.6085792,-58.4298313,2021-03-29
"55","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",6,0,-34.6085792,-58.4298313,2021-03-29
"56","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",7,0,-34.6085792,-58.4298313,2021-03-29
"57","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",8,12,-34.6085792,-58.4298313,2021-03-29
"58","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",9,19.5,-34.6085792,-58.4298313,2021-03-29
"59","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",10,28.5,-34.6085792,-58.4298313,2021-03-29
"60","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",11,45.75,-34.6085792,-58.4298313,2021-03-29
"61","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",12,63.75,-34.6085792,-58.4298313,2021-03-29
"62","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",13,61.5,-34.6085792,-58.4298313,2021-03-29
"63","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",14,41.25,-34.6085792,-58.4298313,2021-03-29
"64","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",15,22.5,-34.6085792,-58.4298313,2021-03-29
"65","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",16,0,-34.6085792,-58.4298313,2021-03-29
"66","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",17,20.25,-34.6085792,-58.4298313,2021-03-29
"67","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",18,22.5,-34.6085792,-58.4298313,2021-03-29
"68","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",19,20.25,-34.6085792,-58.4298313,2021-03-29
"69","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",20,14.25,-34.6085792,-58.4298313,2021-03-29
"70","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",21,0,-34.6085792,-58.4298313,2021-03-29
"71","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",22,0,-34.6085792,-58.4298313,2021-03-29
"72","Viavenetto Palermo, Ciudad de Buenos Aires","jueves",23,0,-34.6085792,-58.4298313,2021-03-29
"73","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",6,0,-34.6085792,-58.4298313,2021-03-29
"74","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",7,0,-34.6085792,-58.4298313,2021-03-29
"75","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",8,0.75,-34.6085792,-58.4298313,2021-03-29
"76","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",9,5.25,-34.6085792,-58.4298313,2021-03-29
"77","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",10,15,-34.6085792,-58.4298313,2021-03-29
"78","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",11,33,-34.6085792,-58.4298313,2021-03-29
"79","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",12,48,-34.6085792,-58.4298313,2021-03-29
"80","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",13,50.25,-34.6085792,-58.4298313,2021-03-29
"81","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",14,37.5,-34.6085792,-58.4298313,2021-03-29
"82","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",15,19.5,-34.6085792,-58.4298313,2021-03-29
"83","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",16,0,-34.6085792,-58.4298313,2021-03-29
"84","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",17,17.25,-34.6085792,-58.4298313,2021-03-29
"85","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",18,16.5,-34.6085792,-58.4298313,2021-03-29
"86","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",19,7.5,-34.6085792,-58.4298313,2021-03-29
"87","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",20,10.5,-34.6085792,-58.4298313,2021-03-29
"88","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",21,0,-34.6085792,-58.4298313,2021-03-29
"89","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",22,0,-34.6085792,-58.4298313,2021-03-29
"90","Viavenetto Palermo, Ciudad de Buenos Aires","viernes",23,0,-34.6085792,-58.4298313,2021-03-29
"91","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",6,0,-34.6085792,-58.4298313,2021-03-29
"92","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",7,0,-34.6085792,-58.4298313,2021-03-29
"93","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",8,0,-34.6085792,-58.4298313,2021-03-29
"94","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",9,9.75,-34.6085792,-58.4298313,2021-03-29
"95","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",10,27,-34.6085792,-58.4298313,2021-03-29
"96","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",11,45.75,-34.6085792,-58.4298313,2021-03-29
"97","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",12,48,-34.6085792,-58.4298313,2021-03-29
"98","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",13,31.5,-34.6085792,-58.4298313,2021-03-29
"99","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",14,0,-34.6085792,-58.4298313,2021-03-29
"100","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",15,0,-34.6085792,-58.4298313,2021-03-29
"101","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",16,0,-34.6085792,-58.4298313,2021-03-29
"102","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",17,0,-34.6085792,-58.4298313,2021-03-29
"103","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",18,0,-34.6085792,-58.4298313,2021-03-29
"104","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",19,0,-34.6085792,-58.4298313,2021-03-29
"105","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",20,0,-34.6085792,-58.4298313,2021-03-29
"106","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",21,0,-34.6085792,-58.4298313,2021-03-29
"107","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",22,0,-34.6085792,-58.4298313,2021-03-29
"108","Viavenetto Palermo, Ciudad de Buenos Aires","sabado",23,0,-34.6085792,-58.4298313,2021-03-29
"109","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",6,0,-34.6085792,-58.4298313,2021-03-29
"110","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",7,0,-34.6085792,-58.4298313,2021-03-29
"111","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",8,0,-34.6085792,-58.4298313,2021-03-29
"112","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",9,7.5,-34.6085792,-58.4298313,2021-03-29
"113","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",10,8.25,-34.6085792,-58.4298313,2021-03-29
"114","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",11,14.25,-34.6085792,-58.4298313,2021-03-29
"115","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",12,75,-34.6085792,-58.4298313,2021-03-29
"116","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",13,68.25,-34.6085792,-58.4298313,2021-03-29
"117","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",14,0,-34.6085792,-58.4298313,2021-03-29
"118","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",15,0,-34.6085792,-58.4298313,2021-03-29
"119","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",16,0,-34.6085792,-58.4298313,2021-03-29
"120","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",17,0,-34.6085792,-58.4298313,2021-03-29
"121","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",18,0,-34.6085792,-58.4298313,2021-03-29
"122","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",19,0,-34.6085792,-58.4298313,2021-03-29
"123","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",20,0,-34.6085792,-58.4298313,2021-03-29
"124","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",21,0,-34.6085792,-58.4298313,2021-03-29
"125","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",22,0,-34.6085792,-58.4298313,2021-03-29
"126","Viavenetto Palermo, Ciudad de Buenos Aires","domingo",23,0,-34.6085792,-58.4298313,2021-03-29
