"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",6,0,-34.5583612,-58.4480892,2021-03-30
"2","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",7,0,-34.5583612,-58.4480892,2021-03-30
"3","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",8,0,-34.5583612,-58.4480892,2021-03-30
"4","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",9,0,-34.5583612,-58.4480892,2021-03-30
"5","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",10,0,-34.5583612,-58.4480892,2021-03-30
"6","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",11,0,-34.5583612,-58.4480892,2021-03-30
"7","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",12,43.5,-34.5583612,-58.4480892,2021-03-30
"8","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",13,66.75,-34.5583612,-58.4480892,2021-03-30
"9","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",14,43.5,-34.5583612,-58.4480892,2021-03-30
"10","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",15,12.75,-34.5583612,-58.4480892,2021-03-30
"11","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",16,0,-34.5583612,-58.4480892,2021-03-30
"12","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",17,0,-34.5583612,-58.4480892,2021-03-30
"13","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",18,0,-34.5583612,-58.4480892,2021-03-30
"14","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",19,0,-34.5583612,-58.4480892,2021-03-30
"15","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",20,0,-34.5583612,-58.4480892,2021-03-30
"16","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",21,1.5,-34.5583612,-58.4480892,2021-03-30
"17","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",22,1.5,-34.5583612,-58.4480892,2021-03-30
"18","Yuki Kaiten Sushi, Ciudad de Buenos Aires","lunes",23,0.75,-34.5583612,-58.4480892,2021-03-30
"19","Yuki Kaiten Sushi, Ciudad de Buenos Aires","martes",6,0,-34.5583612,-58.4480892,2021-03-30
