"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Zorra Bar, Ciudad de Buenos Aires","lunes",6,0,-34.7990764,-58.3920882,2021-03-28
"2","Zorra Bar, Ciudad de Buenos Aires","lunes",7,0,-34.7990764,-58.3920882,2021-03-28
"3","Zorra Bar, Ciudad de Buenos Aires","lunes",8,0,-34.7990764,-58.3920882,2021-03-28
"4","Zorra Bar, Ciudad de Buenos Aires","lunes",9,0,-34.7990764,-58.3920882,2021-03-28
"5","Zorra Bar, Ciudad de Buenos Aires","lunes",10,0,-34.7990764,-58.3920882,2021-03-28
"6","Zorra Bar, Ciudad de Buenos Aires","lunes",11,0,-34.7990764,-58.3920882,2021-03-28
"7","Zorra Bar, Ciudad de Buenos Aires","lunes",12,0,-34.7990764,-58.3920882,2021-03-28
"8","Zorra Bar, Ciudad de Buenos Aires","lunes",13,0,-34.7990764,-58.3920882,2021-03-28
"9","Zorra Bar, Ciudad de Buenos Aires","lunes",14,0,-34.7990764,-58.3920882,2021-03-28
"10","Zorra Bar, Ciudad de Buenos Aires","lunes",15,0,-34.7990764,-58.3920882,2021-03-28
"11","Zorra Bar, Ciudad de Buenos Aires","lunes",16,0,-34.7990764,-58.3920882,2021-03-28
"12","Zorra Bar, Ciudad de Buenos Aires","lunes",17,0,-34.7990764,-58.3920882,2021-03-28
"13","Zorra Bar, Ciudad de Buenos Aires","lunes",18,0,-34.7990764,-58.3920882,2021-03-28
"14","Zorra Bar, Ciudad de Buenos Aires","lunes",19,3.75,-34.7990764,-58.3920882,2021-03-28
"15","Zorra Bar, Ciudad de Buenos Aires","lunes",20,3.75,-34.7990764,-58.3920882,2021-03-28
"16","Zorra Bar, Ciudad de Buenos Aires","lunes",21,3.75,-34.7990764,-58.3920882,2021-03-28
"17","Zorra Bar, Ciudad de Buenos Aires","lunes",22,4.5,-34.7990764,-58.3920882,2021-03-28
"18","Zorra Bar, Ciudad de Buenos Aires","lunes",23,6,-34.7990764,-58.3920882,2021-03-28
"19","Zorra Bar, Ciudad de Buenos Aires","martes",0,6,-34.7990764,-58.3920882,2021-03-28
"20","Zorra Bar, Ciudad de Buenos Aires","martes",1,3.75,-34.7990764,-58.3920882,2021-03-28
"21","Zorra Bar, Ciudad de Buenos Aires","martes",2,1.5,-34.7990764,-58.3920882,2021-03-28
"22","Zorra Bar, Ciudad de Buenos Aires","martes",3,0,-34.7990764,-58.3920882,2021-03-28
"23","Zorra Bar, Ciudad de Buenos Aires","martes",6,0,-34.7990764,-58.3920882,2021-03-28
"24","Zorra Bar, Ciudad de Buenos Aires","martes",7,0,-34.7990764,-58.3920882,2021-03-28
"25","Zorra Bar, Ciudad de Buenos Aires","martes",8,0,-34.7990764,-58.3920882,2021-03-28
"26","Zorra Bar, Ciudad de Buenos Aires","martes",9,0,-34.7990764,-58.3920882,2021-03-28
"27","Zorra Bar, Ciudad de Buenos Aires","martes",10,0,-34.7990764,-58.3920882,2021-03-28
"28","Zorra Bar, Ciudad de Buenos Aires","martes",11,0,-34.7990764,-58.3920882,2021-03-28
"29","Zorra Bar, Ciudad de Buenos Aires","martes",12,0,-34.7990764,-58.3920882,2021-03-28
"30","Zorra Bar, Ciudad de Buenos Aires","martes",13,0,-34.7990764,-58.3920882,2021-03-28
"31","Zorra Bar, Ciudad de Buenos Aires","martes",14,0,-34.7990764,-58.3920882,2021-03-28
"32","Zorra Bar, Ciudad de Buenos Aires","martes",15,0,-34.7990764,-58.3920882,2021-03-28
"33","Zorra Bar, Ciudad de Buenos Aires","martes",16,0,-34.7990764,-58.3920882,2021-03-28
"34","Zorra Bar, Ciudad de Buenos Aires","martes",17,0,-34.7990764,-58.3920882,2021-03-28
"35","Zorra Bar, Ciudad de Buenos Aires","martes",18,0,-34.7990764,-58.3920882,2021-03-28
"36","Zorra Bar, Ciudad de Buenos Aires","martes",19,6.75,-34.7990764,-58.3920882,2021-03-28
"37","Zorra Bar, Ciudad de Buenos Aires","martes",20,1.5,-34.7990764,-58.3920882,2021-03-28
"38","Zorra Bar, Ciudad de Buenos Aires","martes",21,0.75,-34.7990764,-58.3920882,2021-03-28
"39","Zorra Bar, Ciudad de Buenos Aires","martes",22,0,-34.7990764,-58.3920882,2021-03-28
"40","Zorra Bar, Ciudad de Buenos Aires","martes",23,0,-34.7990764,-58.3920882,2021-03-28
"41","Zorra Bar, Ciudad de Buenos Aires","miercoles",0,0,-34.7990764,-58.3920882,2021-03-28
"42","Zorra Bar, Ciudad de Buenos Aires","miercoles",1,0,-34.7990764,-58.3920882,2021-03-28
"43","Zorra Bar, Ciudad de Buenos Aires","miercoles",2,0,-34.7990764,-58.3920882,2021-03-28
"44","Zorra Bar, Ciudad de Buenos Aires","miercoles",3,0,-34.7990764,-58.3920882,2021-03-28
"45","Zorra Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.7990764,-58.3920882,2021-03-28
"46","Zorra Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.7990764,-58.3920882,2021-03-28
"47","Zorra Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.7990764,-58.3920882,2021-03-28
"48","Zorra Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.7990764,-58.3920882,2021-03-28
"49","Zorra Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.7990764,-58.3920882,2021-03-28
"50","Zorra Bar, Ciudad de Buenos Aires","miercoles",11,0,-34.7990764,-58.3920882,2021-03-28
"51","Zorra Bar, Ciudad de Buenos Aires","miercoles",12,0,-34.7990764,-58.3920882,2021-03-28
"52","Zorra Bar, Ciudad de Buenos Aires","miercoles",13,0,-34.7990764,-58.3920882,2021-03-28
"53","Zorra Bar, Ciudad de Buenos Aires","miercoles",14,0,-34.7990764,-58.3920882,2021-03-28
"54","Zorra Bar, Ciudad de Buenos Aires","miercoles",15,0,-34.7990764,-58.3920882,2021-03-28
"55","Zorra Bar, Ciudad de Buenos Aires","miercoles",16,0,-34.7990764,-58.3920882,2021-03-28
"56","Zorra Bar, Ciudad de Buenos Aires","miercoles",17,0,-34.7990764,-58.3920882,2021-03-28
"57","Zorra Bar, Ciudad de Buenos Aires","miercoles",18,0,-34.7990764,-58.3920882,2021-03-28
"58","Zorra Bar, Ciudad de Buenos Aires","miercoles",19,15,-34.7990764,-58.3920882,2021-03-28
"59","Zorra Bar, Ciudad de Buenos Aires","miercoles",20,18.75,-34.7990764,-58.3920882,2021-03-28
"60","Zorra Bar, Ciudad de Buenos Aires","miercoles",21,17.25,-34.7990764,-58.3920882,2021-03-28
"61","Zorra Bar, Ciudad de Buenos Aires","miercoles",22,12.75,-34.7990764,-58.3920882,2021-03-28
"62","Zorra Bar, Ciudad de Buenos Aires","miercoles",23,8.25,-34.7990764,-58.3920882,2021-03-28
"63","Zorra Bar, Ciudad de Buenos Aires","jueves",0,6,-34.7990764,-58.3920882,2021-03-28
"64","Zorra Bar, Ciudad de Buenos Aires","jueves",1,4.5,-34.7990764,-58.3920882,2021-03-28
"65","Zorra Bar, Ciudad de Buenos Aires","jueves",2,2.25,-34.7990764,-58.3920882,2021-03-28
"66","Zorra Bar, Ciudad de Buenos Aires","jueves",3,0.75,-34.7990764,-58.3920882,2021-03-28
"67","Zorra Bar, Ciudad de Buenos Aires","jueves",6,0,-34.7990764,-58.3920882,2021-03-28
"68","Zorra Bar, Ciudad de Buenos Aires","jueves",7,0,-34.7990764,-58.3920882,2021-03-28
"69","Zorra Bar, Ciudad de Buenos Aires","jueves",8,0,-34.7990764,-58.3920882,2021-03-28
"70","Zorra Bar, Ciudad de Buenos Aires","jueves",9,0,-34.7990764,-58.3920882,2021-03-28
"71","Zorra Bar, Ciudad de Buenos Aires","jueves",10,0,-34.7990764,-58.3920882,2021-03-28
"72","Zorra Bar, Ciudad de Buenos Aires","jueves",11,0,-34.7990764,-58.3920882,2021-03-28
"73","Zorra Bar, Ciudad de Buenos Aires","jueves",12,0,-34.7990764,-58.3920882,2021-03-28
"74","Zorra Bar, Ciudad de Buenos Aires","jueves",13,0,-34.7990764,-58.3920882,2021-03-28
"75","Zorra Bar, Ciudad de Buenos Aires","jueves",14,0,-34.7990764,-58.3920882,2021-03-28
"76","Zorra Bar, Ciudad de Buenos Aires","jueves",15,0,-34.7990764,-58.3920882,2021-03-28
"77","Zorra Bar, Ciudad de Buenos Aires","jueves",16,0,-34.7990764,-58.3920882,2021-03-28
"78","Zorra Bar, Ciudad de Buenos Aires","jueves",17,0,-34.7990764,-58.3920882,2021-03-28
"79","Zorra Bar, Ciudad de Buenos Aires","jueves",18,0,-34.7990764,-58.3920882,2021-03-28
"80","Zorra Bar, Ciudad de Buenos Aires","jueves",19,15,-34.7990764,-58.3920882,2021-03-28
"81","Zorra Bar, Ciudad de Buenos Aires","jueves",20,18.75,-34.7990764,-58.3920882,2021-03-28
"82","Zorra Bar, Ciudad de Buenos Aires","jueves",21,21.75,-34.7990764,-58.3920882,2021-03-28
"83","Zorra Bar, Ciudad de Buenos Aires","jueves",22,22.5,-34.7990764,-58.3920882,2021-03-28
"84","Zorra Bar, Ciudad de Buenos Aires","jueves",23,21,-34.7990764,-58.3920882,2021-03-28
"85","Zorra Bar, Ciudad de Buenos Aires","viernes",0,16.5,-34.7990764,-58.3920882,2021-03-28
"86","Zorra Bar, Ciudad de Buenos Aires","viernes",1,12.75,-34.7990764,-58.3920882,2021-03-28
"87","Zorra Bar, Ciudad de Buenos Aires","viernes",2,8.25,-34.7990764,-58.3920882,2021-03-28
"88","Zorra Bar, Ciudad de Buenos Aires","viernes",3,4.5,-34.7990764,-58.3920882,2021-03-28
"89","Zorra Bar, Ciudad de Buenos Aires","viernes",6,0,-34.7990764,-58.3920882,2021-03-28
"90","Zorra Bar, Ciudad de Buenos Aires","viernes",7,0,-34.7990764,-58.3920882,2021-03-28
"91","Zorra Bar, Ciudad de Buenos Aires","viernes",8,0,-34.7990764,-58.3920882,2021-03-28
"92","Zorra Bar, Ciudad de Buenos Aires","viernes",9,0,-34.7990764,-58.3920882,2021-03-28
"93","Zorra Bar, Ciudad de Buenos Aires","viernes",10,0,-34.7990764,-58.3920882,2021-03-28
"94","Zorra Bar, Ciudad de Buenos Aires","viernes",11,0,-34.7990764,-58.3920882,2021-03-28
"95","Zorra Bar, Ciudad de Buenos Aires","viernes",12,0,-34.7990764,-58.3920882,2021-03-28
"96","Zorra Bar, Ciudad de Buenos Aires","viernes",13,0,-34.7990764,-58.3920882,2021-03-28
"97","Zorra Bar, Ciudad de Buenos Aires","viernes",14,0,-34.7990764,-58.3920882,2021-03-28
"98","Zorra Bar, Ciudad de Buenos Aires","viernes",15,0,-34.7990764,-58.3920882,2021-03-28
"99","Zorra Bar, Ciudad de Buenos Aires","viernes",16,0,-34.7990764,-58.3920882,2021-03-28
"100","Zorra Bar, Ciudad de Buenos Aires","viernes",17,0,-34.7990764,-58.3920882,2021-03-28
"101","Zorra Bar, Ciudad de Buenos Aires","viernes",18,0,-34.7990764,-58.3920882,2021-03-28
"102","Zorra Bar, Ciudad de Buenos Aires","viernes",19,17.25,-34.7990764,-58.3920882,2021-03-28
"103","Zorra Bar, Ciudad de Buenos Aires","viernes",20,27,-34.7990764,-58.3920882,2021-03-28
"104","Zorra Bar, Ciudad de Buenos Aires","viernes",21,39,-34.7990764,-58.3920882,2021-03-28
"105","Zorra Bar, Ciudad de Buenos Aires","viernes",22,51,-34.7990764,-58.3920882,2021-03-28
"106","Zorra Bar, Ciudad de Buenos Aires","viernes",23,61.5,-34.7990764,-58.3920882,2021-03-28
"107","Zorra Bar, Ciudad de Buenos Aires","sabado",0,61.5,-34.7990764,-58.3920882,2021-03-28
"108","Zorra Bar, Ciudad de Buenos Aires","sabado",1,47.25,-34.7990764,-58.3920882,2021-03-28
"109","Zorra Bar, Ciudad de Buenos Aires","sabado",2,26.25,-34.7990764,-58.3920882,2021-03-28
"110","Zorra Bar, Ciudad de Buenos Aires","sabado",3,10.5,-34.7990764,-58.3920882,2021-03-28
"111","Zorra Bar, Ciudad de Buenos Aires","sabado",6,0,-34.7990764,-58.3920882,2021-03-28
"112","Zorra Bar, Ciudad de Buenos Aires","sabado",7,0,-34.7990764,-58.3920882,2021-03-28
"113","Zorra Bar, Ciudad de Buenos Aires","sabado",8,0,-34.7990764,-58.3920882,2021-03-28
"114","Zorra Bar, Ciudad de Buenos Aires","sabado",9,0,-34.7990764,-58.3920882,2021-03-28
"115","Zorra Bar, Ciudad de Buenos Aires","sabado",10,0,-34.7990764,-58.3920882,2021-03-28
"116","Zorra Bar, Ciudad de Buenos Aires","sabado",11,0,-34.7990764,-58.3920882,2021-03-28
"117","Zorra Bar, Ciudad de Buenos Aires","sabado",12,0,-34.7990764,-58.3920882,2021-03-28
"118","Zorra Bar, Ciudad de Buenos Aires","sabado",13,0,-34.7990764,-58.3920882,2021-03-28
"119","Zorra Bar, Ciudad de Buenos Aires","sabado",14,0,-34.7990764,-58.3920882,2021-03-28
"120","Zorra Bar, Ciudad de Buenos Aires","sabado",15,0,-34.7990764,-58.3920882,2021-03-28
"121","Zorra Bar, Ciudad de Buenos Aires","sabado",16,0,-34.7990764,-58.3920882,2021-03-28
"122","Zorra Bar, Ciudad de Buenos Aires","sabado",17,0,-34.7990764,-58.3920882,2021-03-28
"123","Zorra Bar, Ciudad de Buenos Aires","sabado",18,0,-34.7990764,-58.3920882,2021-03-28
"124","Zorra Bar, Ciudad de Buenos Aires","sabado",19,31.5,-34.7990764,-58.3920882,2021-03-28
