"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",6,0,-34.6161789,-58.37345,2021-03-28
"2","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",7,0,-34.6161789,-58.37345,2021-03-28
"3","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",8,0,-34.6161789,-58.37345,2021-03-28
"4","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",9,11.25,-34.6161789,-58.37345,2021-03-28
"5","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",10,27,-34.6161789,-58.37345,2021-03-28
"6","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",11,27.75,-34.6161789,-58.37345,2021-03-28
"7","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",12,35.25,-34.6161789,-58.37345,2021-03-28
"8","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",13,60.75,-34.6161789,-58.37345,2021-03-28
"9","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",14,73.5,-34.6161789,-58.37345,2021-03-28
"10","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",15,60,-34.6161789,-58.37345,2021-03-28
"11","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",16,0,-34.6161789,-58.37345,2021-03-28
"12","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",17,0,-34.6161789,-58.37345,2021-03-28
"13","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",18,0,-34.6161789,-58.37345,2021-03-28
"14","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",19,0,-34.6161789,-58.37345,2021-03-28
"15","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",20,0,-34.6161789,-58.37345,2021-03-28
"16","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",21,0,-34.6161789,-58.37345,2021-03-28
"17","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",22,0,-34.6161789,-58.37345,2021-03-28
"18","los platos de la buela Bistro, Ciudad de Buenos Aires","lunes",23,0,-34.6161789,-58.37345,2021-03-28
"19","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",6,0,-34.6161789,-58.37345,2021-03-28
"20","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",7,0,-34.6161789,-58.37345,2021-03-28
"21","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",8,0,-34.6161789,-58.37345,2021-03-28
"22","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",9,11.25,-34.6161789,-58.37345,2021-03-28
"23","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",10,27,-34.6161789,-58.37345,2021-03-28
"24","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",11,27.75,-34.6161789,-58.37345,2021-03-28
"25","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",12,35.25,-34.6161789,-58.37345,2021-03-28
"26","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",13,60.75,-34.6161789,-58.37345,2021-03-28
"27","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",14,73.5,-34.6161789,-58.37345,2021-03-28
"28","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",15,60,-34.6161789,-58.37345,2021-03-28
"29","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",16,0,-34.6161789,-58.37345,2021-03-28
"30","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",17,0,-34.6161789,-58.37345,2021-03-28
"31","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",18,0,-34.6161789,-58.37345,2021-03-28
"32","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",19,0,-34.6161789,-58.37345,2021-03-28
"33","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",20,0,-34.6161789,-58.37345,2021-03-28
"34","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",21,0,-34.6161789,-58.37345,2021-03-28
"35","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",22,0,-34.6161789,-58.37345,2021-03-28
"36","los platos de la buela Bistro, Ciudad de Buenos Aires","martes",23,0,-34.6161789,-58.37345,2021-03-28
"37","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",6,0,-34.5566304,-58.4824689,2021-03-28
"38","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",7,0,-34.5566304,-58.4824689,2021-03-28
"39","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",8,0,-34.5566304,-58.4824689,2021-03-28
"40","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",9,0.75,-34.5566304,-58.4824689,2021-03-28
"41","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",10,1.5,-34.5566304,-58.4824689,2021-03-28
"42","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",11,9,-34.5566304,-58.4824689,2021-03-28
"43","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",12,22.5,-34.5566304,-58.4824689,2021-03-28
"44","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",13,36,-34.5566304,-58.4824689,2021-03-28
"45","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",14,42,-34.5566304,-58.4824689,2021-03-28
"46","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",15,36.75,-34.5566304,-58.4824689,2021-03-28
"47","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",16,24,-34.5566304,-58.4824689,2021-03-28
"48","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",17,12,-34.5566304,-58.4824689,2021-03-28
"49","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",18,8.25,-34.5566304,-58.4824689,2021-03-28
"50","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",19,16.5,-34.5566304,-58.4824689,2021-03-28
"51","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",20,30.75,-34.5566304,-58.4824689,2021-03-28
"52","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",21,36,-34.5566304,-58.4824689,2021-03-28
"53","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",22,25.5,-34.5566304,-58.4824689,2021-03-28
"54","los platos de la buela Bistro, Ciudad de Buenos Aires","miercoles",23,10.5,-34.5566304,-58.4824689,2021-03-28
"55","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",0,0.75,-34.5566304,-58.4824689,2021-03-28
"56","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",6,0,-34.6161789,-58.37345,2021-03-28
"57","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",7,0,-34.6161789,-58.37345,2021-03-28
"58","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",8,0,-34.6161789,-58.37345,2021-03-28
"59","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",9,11.25,-34.6161789,-58.37345,2021-03-28
"60","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",10,27,-34.6161789,-58.37345,2021-03-28
"61","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",11,27.75,-34.6161789,-58.37345,2021-03-28
"62","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",12,35.25,-34.6161789,-58.37345,2021-03-28
"63","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",13,60.75,-34.6161789,-58.37345,2021-03-28
"64","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",14,73.5,-34.6161789,-58.37345,2021-03-28
"65","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",15,60,-34.6161789,-58.37345,2021-03-28
"66","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",16,0,-34.6161789,-58.37345,2021-03-28
"67","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",17,0,-34.6161789,-58.37345,2021-03-28
"68","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",18,0,-34.6161789,-58.37345,2021-03-28
"69","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",19,0,-34.6161789,-58.37345,2021-03-28
"70","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",20,0,-34.6161789,-58.37345,2021-03-28
"71","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",21,0,-34.6161789,-58.37345,2021-03-28
"72","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",22,0,-34.6161789,-58.37345,2021-03-28
"73","los platos de la buela Bistro, Ciudad de Buenos Aires","jueves",23,0,-34.6161789,-58.37345,2021-03-28
"74","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",6,0,-34.6161789,-58.37345,2021-03-28
"75","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",7,0,-34.6161789,-58.37345,2021-03-28
"76","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",8,0,-34.6161789,-58.37345,2021-03-28
"77","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",9,11.25,-34.6161789,-58.37345,2021-03-28
"78","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",10,27,-34.6161789,-58.37345,2021-03-28
"79","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",11,27.75,-34.6161789,-58.37345,2021-03-28
"80","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",12,35.25,-34.6161789,-58.37345,2021-03-28
"81","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",13,60.75,-34.6161789,-58.37345,2021-03-28
"82","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",14,73.5,-34.6161789,-58.37345,2021-03-28
"83","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",15,60,-34.6161789,-58.37345,2021-03-28
"84","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",16,0,-34.6161789,-58.37345,2021-03-28
"85","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",17,0,-34.6161789,-58.37345,2021-03-28
"86","los platos de la buela Bistro, Ciudad de Buenos Aires","viernes",18,0,-34.6161789,-58.37345,2021-03-28
