"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Break 197, Pinamar, Argentina","lunes",6,0,-37.1654546,-56.9026705,2021-01-29
"2","Break 197, Pinamar, Argentina","lunes",7,0,-37.1654546,-56.9026705,2021-01-29
"3","Break 197, Pinamar, Argentina","lunes",8,0,-37.1654546,-56.9026705,2021-01-29
"4","Break 197, Pinamar, Argentina","lunes",9,0,-37.1654546,-56.9026705,2021-01-29
"5","Break 197, Pinamar, Argentina","lunes",10,0,-37.1654546,-56.9026705,2021-01-29
"6","Break 197, Pinamar, Argentina","lunes",11,0.75,-37.1654546,-56.9026705,2021-01-29
"7","Break 197, Pinamar, Argentina","lunes",12,12,-37.1654546,-56.9026705,2021-01-29
"8","Break 197, Pinamar, Argentina","lunes",13,25.5,-37.1654546,-56.9026705,2021-01-29
"9","Break 197, Pinamar, Argentina","lunes",14,36.75,-37.1654546,-56.9026705,2021-01-29
"10","Break 197, Pinamar, Argentina","lunes",15,40.5,-37.1654546,-56.9026705,2021-01-29
"11","Break 197, Pinamar, Argentina","lunes",16,37.5,-37.1654546,-56.9026705,2021-01-29
"12","Break 197, Pinamar, Argentina","lunes",17,33.75,-37.1654546,-56.9026705,2021-01-29
"13","Break 197, Pinamar, Argentina","lunes",18,36.75,-37.1654546,-56.9026705,2021-01-29
"14","Break 197, Pinamar, Argentina","lunes",19,45.75,-37.1654546,-56.9026705,2021-01-29
"15","Break 197, Pinamar, Argentina","lunes",20,50.25,-37.1654546,-56.9026705,2021-01-29
"16","Break 197, Pinamar, Argentina","lunes",21,48,-37.1654546,-56.9026705,2021-01-29
"17","Break 197, Pinamar, Argentina","lunes",22,40.5,-37.1654546,-56.9026705,2021-01-29
"18","Break 197, Pinamar, Argentina","lunes",23,30.75,-37.1654546,-56.9026705,2021-01-29
"19","Break 197, Pinamar, Argentina","martes",0,17.25,-37.1654546,-56.9026705,2021-01-29
"20","Break 197, Pinamar, Argentina","martes",1,3.75,-37.1654546,-56.9026705,2021-01-29
"21","Break 197, Pinamar, Argentina","martes",6,0,-37.1654546,-56.9026705,2021-01-29
"22","Break 197, Pinamar, Argentina","martes",7,0,-37.1654546,-56.9026705,2021-01-29
"23","Break 197, Pinamar, Argentina","martes",8,0,-37.1654546,-56.9026705,2021-01-29
"24","Break 197, Pinamar, Argentina","martes",9,0,-37.1654546,-56.9026705,2021-01-29
"25","Break 197, Pinamar, Argentina","martes",10,0,-37.1654546,-56.9026705,2021-01-29
"26","Break 197, Pinamar, Argentina","martes",11,0.75,-37.1654546,-56.9026705,2021-01-29
"27","Break 197, Pinamar, Argentina","martes",12,0.75,-37.1654546,-56.9026705,2021-01-29
"28","Break 197, Pinamar, Argentina","martes",13,6.75,-37.1654546,-56.9026705,2021-01-29
"29","Break 197, Pinamar, Argentina","martes",14,11.25,-37.1654546,-56.9026705,2021-01-29
"30","Break 197, Pinamar, Argentina","martes",15,12,-37.1654546,-56.9026705,2021-01-29
"31","Break 197, Pinamar, Argentina","martes",16,11.25,-37.1654546,-56.9026705,2021-01-29
"32","Break 197, Pinamar, Argentina","martes",17,14.25,-37.1654546,-56.9026705,2021-01-29
"33","Break 197, Pinamar, Argentina","martes",18,26.25,-37.1654546,-56.9026705,2021-01-29
"34","Break 197, Pinamar, Argentina","martes",19,43.5,-37.1654546,-56.9026705,2021-01-29
"35","Break 197, Pinamar, Argentina","martes",20,55.5,-37.1654546,-56.9026705,2021-01-29
"36","Break 197, Pinamar, Argentina","martes",21,51.75,-37.1654546,-56.9026705,2021-01-29
"37","Break 197, Pinamar, Argentina","martes",22,38.25,-37.1654546,-56.9026705,2021-01-29
"38","Break 197, Pinamar, Argentina","martes",23,23.25,-37.1654546,-56.9026705,2021-01-29
"39","Break 197, Pinamar, Argentina","miercoles",0,9,-37.1654546,-56.9026705,2021-01-29
"40","Break 197, Pinamar, Argentina","miercoles",1,0.75,-37.1654546,-56.9026705,2021-01-29
"41","Break 197, Pinamar, Argentina","miercoles",6,0,-37.1654546,-56.9026705,2021-01-29
"42","Break 197, Pinamar, Argentina","miercoles",7,0,-37.1654546,-56.9026705,2021-01-29
"43","Break 197, Pinamar, Argentina","miercoles",8,0,-37.1654546,-56.9026705,2021-01-29
"44","Break 197, Pinamar, Argentina","miercoles",9,0,-37.1654546,-56.9026705,2021-01-29
"45","Break 197, Pinamar, Argentina","miercoles",10,0,-37.1654546,-56.9026705,2021-01-29
"46","Break 197, Pinamar, Argentina","miercoles",11,0.75,-37.1654546,-56.9026705,2021-01-29
"47","Break 197, Pinamar, Argentina","miercoles",12,7.5,-37.1654546,-56.9026705,2021-01-29
"48","Break 197, Pinamar, Argentina","miercoles",13,18,-37.1654546,-56.9026705,2021-01-29
"49","Break 197, Pinamar, Argentina","miercoles",14,24.75,-37.1654546,-56.9026705,2021-01-29
"50","Break 197, Pinamar, Argentina","miercoles",15,27,-37.1654546,-56.9026705,2021-01-29
"51","Break 197, Pinamar, Argentina","miercoles",16,24.75,-37.1654546,-56.9026705,2021-01-29
"52","Break 197, Pinamar, Argentina","miercoles",17,21.75,-37.1654546,-56.9026705,2021-01-29
"53","Break 197, Pinamar, Argentina","miercoles",18,22.5,-37.1654546,-56.9026705,2021-01-29
"54","Break 197, Pinamar, Argentina","miercoles",19,28.5,-37.1654546,-56.9026705,2021-01-29
"55","Break 197, Pinamar, Argentina","miercoles",20,36,-37.1654546,-56.9026705,2021-01-29
"56","Break 197, Pinamar, Argentina","miercoles",21,39.75,-37.1654546,-56.9026705,2021-01-29
"57","Break 197, Pinamar, Argentina","miercoles",22,36,-37.1654546,-56.9026705,2021-01-29
"58","Break 197, Pinamar, Argentina","miercoles",23,25.5,-37.1654546,-56.9026705,2021-01-29
"59","Break 197, Pinamar, Argentina","jueves",0,12,-37.1654546,-56.9026705,2021-01-29
"60","Break 197, Pinamar, Argentina","jueves",1,1.5,-37.1654546,-56.9026705,2021-01-29
"61","Break 197, Pinamar, Argentina","jueves",6,0,-37.1654546,-56.9026705,2021-01-29
"62","Break 197, Pinamar, Argentina","jueves",7,0,-37.1654546,-56.9026705,2021-01-29
"63","Break 197, Pinamar, Argentina","jueves",8,0,-37.1654546,-56.9026705,2021-01-29
"64","Break 197, Pinamar, Argentina","jueves",9,0,-37.1654546,-56.9026705,2021-01-29
"65","Break 197, Pinamar, Argentina","jueves",10,0,-37.1654546,-56.9026705,2021-01-29
"66","Break 197, Pinamar, Argentina","jueves",11,0.75,-37.1654546,-56.9026705,2021-01-29
"67","Break 197, Pinamar, Argentina","jueves",12,6,-37.1654546,-56.9026705,2021-01-29
"68","Break 197, Pinamar, Argentina","jueves",13,12,-37.1654546,-56.9026705,2021-01-29
"69","Break 197, Pinamar, Argentina","jueves",14,18.75,-37.1654546,-56.9026705,2021-01-29
"70","Break 197, Pinamar, Argentina","jueves",15,23.25,-37.1654546,-56.9026705,2021-01-29
"71","Break 197, Pinamar, Argentina","jueves",16,26.25,-37.1654546,-56.9026705,2021-01-29
"72","Break 197, Pinamar, Argentina","jueves",17,27.75,-37.1654546,-56.9026705,2021-01-29
"73","Break 197, Pinamar, Argentina","jueves",18,30,-37.1654546,-56.9026705,2021-01-29
"74","Break 197, Pinamar, Argentina","jueves",19,31.5,-37.1654546,-56.9026705,2021-01-29
"75","Break 197, Pinamar, Argentina","jueves",20,33,-37.1654546,-56.9026705,2021-01-29
"76","Break 197, Pinamar, Argentina","jueves",21,30.75,-37.1654546,-56.9026705,2021-01-29
"77","Break 197, Pinamar, Argentina","jueves",22,24.75,-37.1654546,-56.9026705,2021-01-29
"78","Break 197, Pinamar, Argentina","jueves",23,15,-37.1654546,-56.9026705,2021-01-29
"79","Break 197, Pinamar, Argentina","viernes",0,5.25,-37.1654546,-56.9026705,2021-01-29
"80","Break 197, Pinamar, Argentina","viernes",1,0.75,-37.1654546,-56.9026705,2021-01-29
"81","Break 197, Pinamar, Argentina","viernes",6,0,-37.1654546,-56.9026705,2021-01-29
"82","Break 197, Pinamar, Argentina","viernes",7,0,-37.1654546,-56.9026705,2021-01-29
"83","Break 197, Pinamar, Argentina","viernes",8,0,-37.1654546,-56.9026705,2021-01-29
"84","Break 197, Pinamar, Argentina","viernes",9,0,-37.1654546,-56.9026705,2021-01-29
"85","Break 197, Pinamar, Argentina","viernes",10,0,-37.1654546,-56.9026705,2021-01-29
"86","Break 197, Pinamar, Argentina","viernes",11,1.5,-37.1654546,-56.9026705,2021-01-29
"87","Break 197, Pinamar, Argentina","viernes",12,11.25,-37.1654546,-56.9026705,2021-01-29
"88","Break 197, Pinamar, Argentina","viernes",13,21,-37.1654546,-56.9026705,2021-01-29
