"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","El Galpon Parrilla, Pinamar, Argentina","lunes",6,0,-37.1121312,-56.866869,2021-01-29
"2","El Galpon Parrilla, Pinamar, Argentina","lunes",7,0,-37.1121312,-56.866869,2021-01-29
"3","El Galpon Parrilla, Pinamar, Argentina","lunes",8,0,-37.1121312,-56.866869,2021-01-29
"4","El Galpon Parrilla, Pinamar, Argentina","lunes",9,0,-37.1121312,-56.866869,2021-01-29
"5","El Galpon Parrilla, Pinamar, Argentina","lunes",10,0,-37.1121312,-56.866869,2021-01-29
"6","El Galpon Parrilla, Pinamar, Argentina","lunes",11,0,-37.1121312,-56.866869,2021-01-29
"7","El Galpon Parrilla, Pinamar, Argentina","lunes",12,18,-37.1121312,-56.866869,2021-01-29
"8","El Galpon Parrilla, Pinamar, Argentina","lunes",13,24,-37.1121312,-56.866869,2021-01-29
"9","El Galpon Parrilla, Pinamar, Argentina","lunes",14,24.75,-37.1121312,-56.866869,2021-01-29
"10","El Galpon Parrilla, Pinamar, Argentina","lunes",15,21,-37.1121312,-56.866869,2021-01-29
"11","El Galpon Parrilla, Pinamar, Argentina","lunes",16,15.75,-37.1121312,-56.866869,2021-01-29
"12","El Galpon Parrilla, Pinamar, Argentina","lunes",17,14.25,-37.1121312,-56.866869,2021-01-29
"13","El Galpon Parrilla, Pinamar, Argentina","lunes",18,15.75,-37.1121312,-56.866869,2021-01-29
"14","El Galpon Parrilla, Pinamar, Argentina","lunes",19,20.25,-37.1121312,-56.866869,2021-01-29
"15","El Galpon Parrilla, Pinamar, Argentina","lunes",20,25.5,-37.1121312,-56.866869,2021-01-29
"16","El Galpon Parrilla, Pinamar, Argentina","lunes",21,29.25,-37.1121312,-56.866869,2021-01-29
"17","El Galpon Parrilla, Pinamar, Argentina","lunes",22,30,-37.1121312,-56.866869,2021-01-29
"18","El Galpon Parrilla, Pinamar, Argentina","lunes",23,28.5,-37.1121312,-56.866869,2021-01-29
