"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Estilo Criollo, Pinamar, Argentina","lunes",6,0,-37.1133012,-56.8656418,2021-01-29
"2","Estilo Criollo, Pinamar, Argentina","lunes",7,0,-37.1133012,-56.8656418,2021-01-29
"3","Estilo Criollo, Pinamar, Argentina","lunes",8,0,-37.1133012,-56.8656418,2021-01-29
"4","Estilo Criollo, Pinamar, Argentina","lunes",9,0,-37.1133012,-56.8656418,2021-01-29
"5","Estilo Criollo, Pinamar, Argentina","lunes",10,0,-37.1133012,-56.8656418,2021-01-29
"6","Estilo Criollo, Pinamar, Argentina","lunes",11,9,-37.1133012,-56.8656418,2021-01-29
"7","Estilo Criollo, Pinamar, Argentina","lunes",12,12,-37.1133012,-56.8656418,2021-01-29
"8","Estilo Criollo, Pinamar, Argentina","lunes",13,14.25,-37.1133012,-56.8656418,2021-01-29
"9","Estilo Criollo, Pinamar, Argentina","lunes",14,14.25,-37.1133012,-56.8656418,2021-01-29
"10","Estilo Criollo, Pinamar, Argentina","lunes",15,12,-37.1133012,-56.8656418,2021-01-29
"11","Estilo Criollo, Pinamar, Argentina","lunes",16,0,-37.1133012,-56.8656418,2021-01-29
"12","Estilo Criollo, Pinamar, Argentina","lunes",17,0,-37.1133012,-56.8656418,2021-01-29
"13","Estilo Criollo, Pinamar, Argentina","lunes",18,0,-37.1133012,-56.8656418,2021-01-29
"14","Estilo Criollo, Pinamar, Argentina","lunes",19,9.75,-37.1133012,-56.8656418,2021-01-29
"15","Estilo Criollo, Pinamar, Argentina","lunes",20,18.75,-37.1133012,-56.8656418,2021-01-29
"16","Estilo Criollo, Pinamar, Argentina","lunes",21,27.75,-37.1133012,-56.8656418,2021-01-29
"17","Estilo Criollo, Pinamar, Argentina","lunes",22,32.25,-37.1133012,-56.8656418,2021-01-29
"18","Estilo Criollo, Pinamar, Argentina","lunes",23,27,-37.1133012,-56.8656418,2021-01-29
"19","Estilo Criollo, Pinamar, Argentina","martes",0,18,-37.1133012,-56.8656418,2021-01-29
"20","Estilo Criollo, Pinamar, Argentina","martes",6,0,-37.1133012,-56.8656418,2021-01-29
"21","Estilo Criollo, Pinamar, Argentina","martes",7,0,-37.1133012,-56.8656418,2021-01-29
"22","Estilo Criollo, Pinamar, Argentina","martes",8,0,-37.1133012,-56.8656418,2021-01-29
"23","Estilo Criollo, Pinamar, Argentina","martes",9,0,-37.1133012,-56.8656418,2021-01-29
"24","Estilo Criollo, Pinamar, Argentina","martes",10,0,-37.1133012,-56.8656418,2021-01-29
"25","Estilo Criollo, Pinamar, Argentina","martes",11,8.25,-37.1133012,-56.8656418,2021-01-29
"26","Estilo Criollo, Pinamar, Argentina","martes",12,12.75,-37.1133012,-56.8656418,2021-01-29
"27","Estilo Criollo, Pinamar, Argentina","martes",13,15.75,-37.1133012,-56.8656418,2021-01-29
"28","Estilo Criollo, Pinamar, Argentina","martes",14,15.75,-37.1133012,-56.8656418,2021-01-29
"29","Estilo Criollo, Pinamar, Argentina","martes",15,12.75,-37.1133012,-56.8656418,2021-01-29
"30","Estilo Criollo, Pinamar, Argentina","martes",16,0,-37.1133012,-56.8656418,2021-01-29
"31","Estilo Criollo, Pinamar, Argentina","martes",17,0,-37.1133012,-56.8656418,2021-01-29
"32","Estilo Criollo, Pinamar, Argentina","martes",18,0,-37.1133012,-56.8656418,2021-01-29
"33","Estilo Criollo, Pinamar, Argentina","martes",19,11.25,-37.1133012,-56.8656418,2021-01-29
"34","Estilo Criollo, Pinamar, Argentina","martes",20,20.25,-37.1133012,-56.8656418,2021-01-29
"35","Estilo Criollo, Pinamar, Argentina","martes",21,28.5,-37.1133012,-56.8656418,2021-01-29
"36","Estilo Criollo, Pinamar, Argentina","martes",22,30.75,-37.1133012,-56.8656418,2021-01-29
"37","Estilo Criollo, Pinamar, Argentina","martes",23,26.25,-37.1133012,-56.8656418,2021-01-29
"38","Estilo Criollo, Pinamar, Argentina","miercoles",0,17.25,-37.1133012,-56.8656418,2021-01-29
"39","Estilo Criollo, Pinamar, Argentina","miercoles",6,0,-37.1133012,-56.8656418,2021-01-29
"40","Estilo Criollo, Pinamar, Argentina","miercoles",7,0,-37.1133012,-56.8656418,2021-01-29
"41","Estilo Criollo, Pinamar, Argentina","miercoles",8,0,-37.1133012,-56.8656418,2021-01-29
"42","Estilo Criollo, Pinamar, Argentina","miercoles",9,0,-37.1133012,-56.8656418,2021-01-29
"43","Estilo Criollo, Pinamar, Argentina","miercoles",10,0,-37.1133012,-56.8656418,2021-01-29
"44","Estilo Criollo, Pinamar, Argentina","miercoles",11,9,-37.1133012,-56.8656418,2021-01-29
"45","Estilo Criollo, Pinamar, Argentina","miercoles",12,14.25,-37.1133012,-56.8656418,2021-01-29
"46","Estilo Criollo, Pinamar, Argentina","miercoles",13,18.75,-37.1133012,-56.8656418,2021-01-29
"47","Estilo Criollo, Pinamar, Argentina","miercoles",14,18,-37.1133012,-56.8656418,2021-01-29
"48","Estilo Criollo, Pinamar, Argentina","miercoles",15,12.75,-37.1133012,-56.8656418,2021-01-29
"49","Estilo Criollo, Pinamar, Argentina","miercoles",16,0,-37.1133012,-56.8656418,2021-01-29
"50","Estilo Criollo, Pinamar, Argentina","miercoles",17,0,-37.1133012,-56.8656418,2021-01-29
"51","Estilo Criollo, Pinamar, Argentina","miercoles",18,0,-37.1133012,-56.8656418,2021-01-29
"52","Estilo Criollo, Pinamar, Argentina","miercoles",19,8.25,-37.1133012,-56.8656418,2021-01-29
"53","Estilo Criollo, Pinamar, Argentina","miercoles",20,15.75,-37.1133012,-56.8656418,2021-01-29
"54","Estilo Criollo, Pinamar, Argentina","miercoles",21,26.25,-37.1133012,-56.8656418,2021-01-29
"55","Estilo Criollo, Pinamar, Argentina","miercoles",22,32.25,-37.1133012,-56.8656418,2021-01-29
"56","Estilo Criollo, Pinamar, Argentina","miercoles",23,27.75,-37.1133012,-56.8656418,2021-01-29
"57","Estilo Criollo, Pinamar, Argentina","jueves",0,17.25,-37.1133012,-56.8656418,2021-01-29
