"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Jirafa, Pinamar, Argentina","lunes",6,0,-37.1099063,-56.8682949,2021-01-29
"2","La Jirafa, Pinamar, Argentina","lunes",7,11.25,-37.1099063,-56.8682949,2021-01-29
"3","La Jirafa, Pinamar, Argentina","lunes",8,21,-37.1099063,-56.8682949,2021-01-29
"4","La Jirafa, Pinamar, Argentina","lunes",9,30.75,-37.1099063,-56.8682949,2021-01-29
"5","La Jirafa, Pinamar, Argentina","lunes",10,36.75,-37.1099063,-56.8682949,2021-01-29
"6","La Jirafa, Pinamar, Argentina","lunes",11,36,-37.1099063,-56.8682949,2021-01-29
"7","La Jirafa, Pinamar, Argentina","lunes",12,28.5,-37.1099063,-56.8682949,2021-01-29
"8","La Jirafa, Pinamar, Argentina","lunes",13,0,-37.1099063,-56.8682949,2021-01-29
"9","La Jirafa, Pinamar, Argentina","lunes",14,0,-37.1099063,-56.8682949,2021-01-29
"10","La Jirafa, Pinamar, Argentina","lunes",15,0,-37.1099063,-56.8682949,2021-01-29
"11","La Jirafa, Pinamar, Argentina","lunes",16,13.5,-37.1099063,-56.8682949,2021-01-29
"12","La Jirafa, Pinamar, Argentina","lunes",17,30,-37.1099063,-56.8682949,2021-01-29
"13","La Jirafa, Pinamar, Argentina","lunes",18,42.75,-37.1099063,-56.8682949,2021-01-29
"14","La Jirafa, Pinamar, Argentina","lunes",19,37.5,-37.1099063,-56.8682949,2021-01-29
"15","La Jirafa, Pinamar, Argentina","lunes",20,20.25,-37.1099063,-56.8682949,2021-01-29
"16","La Jirafa, Pinamar, Argentina","lunes",21,0,-37.1099063,-56.8682949,2021-01-29
"17","La Jirafa, Pinamar, Argentina","lunes",22,0,-37.1099063,-56.8682949,2021-01-29
"18","La Jirafa, Pinamar, Argentina","lunes",23,0,-37.1099063,-56.8682949,2021-01-29
"19","La Jirafa, Pinamar, Argentina","martes",6,0,-37.1099063,-56.8682949,2021-01-29
"20","La Jirafa, Pinamar, Argentina","martes",7,11.25,-37.1099063,-56.8682949,2021-01-29
"21","La Jirafa, Pinamar, Argentina","martes",8,21,-37.1099063,-56.8682949,2021-01-29
"22","La Jirafa, Pinamar, Argentina","martes",9,30.75,-37.1099063,-56.8682949,2021-01-29
"23","La Jirafa, Pinamar, Argentina","martes",10,36.75,-37.1099063,-56.8682949,2021-01-29
"24","La Jirafa, Pinamar, Argentina","martes",11,36,-37.1099063,-56.8682949,2021-01-29
"25","La Jirafa, Pinamar, Argentina","martes",12,28.5,-37.1099063,-56.8682949,2021-01-29
"26","La Jirafa, Pinamar, Argentina","martes",13,0,-37.1099063,-56.8682949,2021-01-29
"27","La Jirafa, Pinamar, Argentina","martes",14,0,-37.1099063,-56.8682949,2021-01-29
"28","La Jirafa, Pinamar, Argentina","martes",15,0,-37.1099063,-56.8682949,2021-01-29
"29","La Jirafa, Pinamar, Argentina","martes",16,13.5,-37.1099063,-56.8682949,2021-01-29
"30","La Jirafa, Pinamar, Argentina","martes",17,30,-37.1099063,-56.8682949,2021-01-29
"31","La Jirafa, Pinamar, Argentina","martes",18,42.75,-37.1099063,-56.8682949,2021-01-29
"32","La Jirafa, Pinamar, Argentina","martes",19,37.5,-37.1099063,-56.8682949,2021-01-29
"33","La Jirafa, Pinamar, Argentina","martes",20,20.25,-37.1099063,-56.8682949,2021-01-29
"34","La Jirafa, Pinamar, Argentina","martes",21,0,-37.1099063,-56.8682949,2021-01-29
"35","La Jirafa, Pinamar, Argentina","martes",22,0,-37.1099063,-56.8682949,2021-01-29
"36","La Jirafa, Pinamar, Argentina","martes",23,0,-37.1099063,-56.8682949,2021-01-29
"37","La Jirafa, Pinamar, Argentina","miercoles",6,0,-37.1099063,-56.8682949,2021-01-29
"38","La Jirafa, Pinamar, Argentina","miercoles",7,11.25,-37.1099063,-56.8682949,2021-01-29
"39","La Jirafa, Pinamar, Argentina","miercoles",8,21,-37.1099063,-56.8682949,2021-01-29
"40","La Jirafa, Pinamar, Argentina","miercoles",9,30.75,-37.1099063,-56.8682949,2021-01-29
"41","La Jirafa, Pinamar, Argentina","miercoles",10,36.75,-37.1099063,-56.8682949,2021-01-29
"42","La Jirafa, Pinamar, Argentina","miercoles",11,36,-37.1099063,-56.8682949,2021-01-29
"43","La Jirafa, Pinamar, Argentina","miercoles",12,28.5,-37.1099063,-56.8682949,2021-01-29
"44","La Jirafa, Pinamar, Argentina","miercoles",13,0,-37.1099063,-56.8682949,2021-01-29
"45","La Jirafa, Pinamar, Argentina","miercoles",14,0,-37.1099063,-56.8682949,2021-01-29
"46","La Jirafa, Pinamar, Argentina","miercoles",15,0,-37.1099063,-56.8682949,2021-01-29
"47","La Jirafa, Pinamar, Argentina","miercoles",16,13.5,-37.1099063,-56.8682949,2021-01-29
"48","La Jirafa, Pinamar, Argentina","miercoles",17,30,-37.1099063,-56.8682949,2021-01-29
"49","La Jirafa, Pinamar, Argentina","miercoles",18,42.75,-37.1099063,-56.8682949,2021-01-29
"50","La Jirafa, Pinamar, Argentina","miercoles",19,37.5,-37.1099063,-56.8682949,2021-01-29
"51","La Jirafa, Pinamar, Argentina","miercoles",20,20.25,-37.1099063,-56.8682949,2021-01-29
"52","La Jirafa, Pinamar, Argentina","miercoles",21,0,-37.1099063,-56.8682949,2021-01-29
"53","La Jirafa, Pinamar, Argentina","miercoles",22,0,-37.1099063,-56.8682949,2021-01-29
"54","La Jirafa, Pinamar, Argentina","miercoles",23,0,-37.1099063,-56.8682949,2021-01-29
"55","La Jirafa, Pinamar, Argentina","jueves",6,0,-37.1099063,-56.8682949,2021-01-29
"56","La Jirafa, Pinamar, Argentina","jueves",7,11.25,-37.1099063,-56.8682949,2021-01-29
"57","La Jirafa, Pinamar, Argentina","jueves",8,21,-37.1099063,-56.8682949,2021-01-29
