"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Ojala, Pinamar, Argentina","lunes",6,0,-37.1126316,-56.8659985,2021-01-29
"2","Ojala, Pinamar, Argentina","lunes",7,13.5,-37.1126316,-56.8659985,2021-01-29
"3","Ojala, Pinamar, Argentina","lunes",8,19.5,-37.1126316,-56.8659985,2021-01-29
"4","Ojala, Pinamar, Argentina","lunes",9,27,-37.1126316,-56.8659985,2021-01-29
"5","Ojala, Pinamar, Argentina","lunes",10,34.5,-37.1126316,-56.8659985,2021-01-29
"6","Ojala, Pinamar, Argentina","lunes",11,40.5,-37.1126316,-56.8659985,2021-01-29
"7","Ojala, Pinamar, Argentina","lunes",12,43.5,-37.1126316,-56.8659985,2021-01-29
"8","Ojala, Pinamar, Argentina","lunes",13,43.5,-37.1126316,-56.8659985,2021-01-29
"9","Ojala, Pinamar, Argentina","lunes",14,40.5,-37.1126316,-56.8659985,2021-01-29
"10","Ojala, Pinamar, Argentina","lunes",15,35.25,-37.1126316,-56.8659985,2021-01-29
"11","Ojala, Pinamar, Argentina","lunes",16,27.75,-37.1126316,-56.8659985,2021-01-29
"12","Ojala, Pinamar, Argentina","lunes",17,21.75,-37.1126316,-56.8659985,2021-01-29
"13","Ojala, Pinamar, Argentina","lunes",18,23.25,-37.1126316,-56.8659985,2021-01-29
"14","Ojala, Pinamar, Argentina","lunes",19,36.75,-37.1126316,-56.8659985,2021-01-29
"15","Ojala, Pinamar, Argentina","lunes",20,47.25,-37.1126316,-56.8659985,2021-01-29
"16","Ojala, Pinamar, Argentina","lunes",21,41.25,-37.1126316,-56.8659985,2021-01-29
"17","Ojala, Pinamar, Argentina","lunes",22,32.25,-37.1126316,-56.8659985,2021-01-29
"18","Ojala, Pinamar, Argentina","lunes",23,25.5,-37.1126316,-56.8659985,2021-01-29
"19","Ojala, Pinamar, Argentina","martes",0,15.75,-37.1126316,-56.8659985,2021-01-29
"20","Ojala, Pinamar, Argentina","martes",6,0,-37.1126316,-56.8659985,2021-01-29
"21","Ojala, Pinamar, Argentina","martes",7,11.25,-37.1126316,-56.8659985,2021-01-29
"22","Ojala, Pinamar, Argentina","martes",8,17.25,-37.1126316,-56.8659985,2021-01-29
"23","Ojala, Pinamar, Argentina","martes",9,24,-37.1126316,-56.8659985,2021-01-29
"24","Ojala, Pinamar, Argentina","martes",10,30.75,-37.1126316,-56.8659985,2021-01-29
"25","Ojala, Pinamar, Argentina","martes",11,36.75,-37.1126316,-56.8659985,2021-01-29
"26","Ojala, Pinamar, Argentina","martes",12,39.75,-37.1126316,-56.8659985,2021-01-29
"27","Ojala, Pinamar, Argentina","martes",13,39.75,-37.1126316,-56.8659985,2021-01-29
"28","Ojala, Pinamar, Argentina","martes",14,36.75,-37.1126316,-56.8659985,2021-01-29
"29","Ojala, Pinamar, Argentina","martes",15,31.5,-37.1126316,-56.8659985,2021-01-29
"30","Ojala, Pinamar, Argentina","martes",16,27,-37.1126316,-56.8659985,2021-01-29
"31","Ojala, Pinamar, Argentina","martes",17,25.5,-37.1126316,-56.8659985,2021-01-29
"32","Ojala, Pinamar, Argentina","martes",18,30,-37.1126316,-56.8659985,2021-01-29
"33","Ojala, Pinamar, Argentina","martes",19,40.5,-37.1126316,-56.8659985,2021-01-29
"34","Ojala, Pinamar, Argentina","martes",20,53.25,-37.1126316,-56.8659985,2021-01-29
"35","Ojala, Pinamar, Argentina","martes",21,60.75,-37.1126316,-56.8659985,2021-01-29
"36","Ojala, Pinamar, Argentina","martes",22,60.75,-37.1126316,-56.8659985,2021-01-29
"37","Ojala, Pinamar, Argentina","martes",23,52.5,-37.1126316,-56.8659985,2021-01-29
"38","Ojala, Pinamar, Argentina","miercoles",0,39,-37.1126316,-56.8659985,2021-01-29
"39","Ojala, Pinamar, Argentina","miercoles",6,0,-37.1126316,-56.8659985,2021-01-29
"40","Ojala, Pinamar, Argentina","miercoles",7,15,-37.1126316,-56.8659985,2021-01-29
"41","Ojala, Pinamar, Argentina","miercoles",8,21,-37.1126316,-56.8659985,2021-01-29
"42","Ojala, Pinamar, Argentina","miercoles",9,27.75,-37.1126316,-56.8659985,2021-01-29
"43","Ojala, Pinamar, Argentina","miercoles",10,33.75,-37.1126316,-56.8659985,2021-01-29
"44","Ojala, Pinamar, Argentina","miercoles",11,38.25,-37.1126316,-56.8659985,2021-01-29
"45","Ojala, Pinamar, Argentina","miercoles",12,40.5,-37.1126316,-56.8659985,2021-01-29
"46","Ojala, Pinamar, Argentina","miercoles",13,39,-37.1126316,-56.8659985,2021-01-29
"47","Ojala, Pinamar, Argentina","miercoles",14,34.5,-37.1126316,-56.8659985,2021-01-29
"48","Ojala, Pinamar, Argentina","miercoles",15,30.75,-37.1126316,-56.8659985,2021-01-29
"49","Ojala, Pinamar, Argentina","miercoles",16,27.75,-37.1126316,-56.8659985,2021-01-29
"50","Ojala, Pinamar, Argentina","miercoles",17,27,-37.1126316,-56.8659985,2021-01-29
