"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",6,0,-37.107927,-56.865652,2021-01-29
"2","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",7,0,-37.107927,-56.865652,2021-01-29
"3","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",8,0,-37.107927,-56.865652,2021-01-29
"4","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",9,0,-37.107927,-56.865652,2021-01-29
"5","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",10,0,-37.107927,-56.865652,2021-01-29
"6","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",11,11.25,-37.107927,-56.865652,2021-01-29
"7","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",12,19.5,-37.107927,-56.865652,2021-01-29
"8","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",13,21,-37.107927,-56.865652,2021-01-29
"9","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",14,15.75,-37.107927,-56.865652,2021-01-29
"10","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",15,6,-37.107927,-56.865652,2021-01-29
"11","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",16,0,-37.107927,-56.865652,2021-01-29
"12","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",17,0,-37.107927,-56.865652,2021-01-29
"13","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",18,0,-37.107927,-56.865652,2021-01-29
"14","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",19,22.5,-37.107927,-56.865652,2021-01-29
"15","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",20,41.25,-37.107927,-56.865652,2021-01-29
"16","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",21,53.25,-37.107927,-56.865652,2021-01-29
"17","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",22,49.5,-37.107927,-56.865652,2021-01-29
"18","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","lunes",23,34.5,-37.107927,-56.865652,2021-01-29
"19","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",0,15.75,-37.107927,-56.865652,2021-01-29
"20","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",6,0,-37.107927,-56.865652,2021-01-29
"21","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",7,0,-37.107927,-56.865652,2021-01-29
"22","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",8,0,-37.107927,-56.865652,2021-01-29
"23","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",9,0,-37.107927,-56.865652,2021-01-29
"24","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",10,0,-37.107927,-56.865652,2021-01-29
"25","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",11,17.25,-37.107927,-56.865652,2021-01-29
"26","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",12,28.5,-37.107927,-56.865652,2021-01-29
"27","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",13,30.75,-37.107927,-56.865652,2021-01-29
"28","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",14,20.25,-37.107927,-56.865652,2021-01-29
"29","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",15,6,-37.107927,-56.865652,2021-01-29
"30","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",16,0,-37.107927,-56.865652,2021-01-29
"31","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",17,0,-37.107927,-56.865652,2021-01-29
"32","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",18,0,-37.107927,-56.865652,2021-01-29
"33","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",19,24,-37.107927,-56.865652,2021-01-29
"34","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",20,48,-37.107927,-56.865652,2021-01-29
"35","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",21,65.25,-37.107927,-56.865652,2021-01-29
"36","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",22,63.75,-37.107927,-56.865652,2021-01-29
"37","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","martes",23,44.25,-37.107927,-56.865652,2021-01-29
"38","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",0,21,-37.107927,-56.865652,2021-01-29
"39","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",6,0,-37.107927,-56.865652,2021-01-29
"40","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",7,0,-37.107927,-56.865652,2021-01-29
"41","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",8,0,-37.107927,-56.865652,2021-01-29
"42","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",9,0,-37.107927,-56.865652,2021-01-29
"43","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",10,0,-37.107927,-56.865652,2021-01-29
"44","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",11,12.75,-37.107927,-56.865652,2021-01-29
"45","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",12,24,-37.107927,-56.865652,2021-01-29
"46","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",13,26.25,-37.107927,-56.865652,2021-01-29
"47","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",14,17.25,-37.107927,-56.865652,2021-01-29
"48","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",15,6,-37.107927,-56.865652,2021-01-29
"49","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",16,0,-37.107927,-56.865652,2021-01-29
"50","Pizzas y Emanadas la Cha Cha, Pinamar, Argentina","miercoles",17,0,-37.107927,-56.865652,2021-01-29
