"","x"
"1","Puente Grand Bar, Ciudad de Buenos Aires"
"2","Hierro Parrilla, Ciudad de Buenos Aires"
"3","Fogón Asado Experience, Ciudad de Buenos Aires"
"4","Encuentro Nativo, Ciudad de Buenos Aires"
"5","Sullivan's Irish Pub &amp; Restaurant, Ciudad de Buenos Aires"
"6","The Argentine Experience, Ciudad de Buenos Aires"
"7","Aramburu, Ciudad de Buenos Aires"
"8","Mi Colección de Vinos, Ciudad de Buenos Aires"
"9","Toro 777, Ciudad de Buenos Aires"
"10","Chila, Ciudad de Buenos Aires"
"11","Casa SaltShaker, Ciudad de Buenos Aires"
"12","i Latina, Ciudad de Buenos Aires"
"13","El Gran Paraiso, Ciudad de Buenos Aires"
"14","Taki Ongoy, Ciudad de Buenos Aires"
"15","Cabernet, Ciudad de Buenos Aires"
"16","SANTOS MANJARES, Ciudad de Buenos Aires"
"17","Calden del Soho, Ciudad de Buenos Aires"
"18","Cucina D'Onore, Ciudad de Buenos Aires"
"19","Casa Coupage Room, Ciudad de Buenos Aires"
"20","El Mercado, Ciudad de Buenos Aires"
"21","Don Julio, Ciudad de Buenos Aires"
"22","Steaks by Luis, Ciudad de Buenos Aires"
"23","Sacro, Ciudad de Buenos Aires"
"24","Roux, Ciudad de Buenos Aires"
"25","Indoor Bar, Ciudad de Buenos Aires"
"26","Parrilla Voro Carnes, Ciudad de Buenos Aires"
"27","La Choripanería, Ciudad de Buenos Aires"
"28","Buono Italian Kitchen, Ciudad de Buenos Aires"
"29","Javi's Parrilla Restaurant, Ciudad de Buenos Aires"
"30","La Barrica Restaurant &amp; Bistrot, Ciudad de Buenos Aires"
"31","St. Regis Restaurant, Ciudad de Buenos Aires"
"32","Los Salones del Piano Nobile, Ciudad de Buenos Aires"
"33","Red Resto &amp; Lounge, Ciudad de Buenos Aires"
"34","La Cocina, Ciudad de Buenos Aires"
"35","El Hornero, Ciudad de Buenos Aires"
"36","La Aguada, Ciudad de Buenos Aires"
"37","Parrilla Cero 5, Ciudad de Buenos Aires"
"38","Crizia, Ciudad de Buenos Aires"
"39","Presidente Bar, Ciudad de Buenos Aires"
"40","El Baqueano, Ciudad de Buenos Aires"
"41","La Pecora Nera, Ciudad de Buenos Aires"
"42","Bao Kitchen, Ciudad de Buenos Aires"
"43","The Brick Kitchen, Ciudad de Buenos Aires"
"44","Síntesis Tapas Asiáticas, Ciudad de Buenos Aires"
"45","Brasserie Petanque, Ciudad de Buenos Aires"
"46","The New Brighton, Ciudad de Buenos Aires"
"47","Pain et Vin Buenos Aires, Ciudad de Buenos Aires"
"48","Parrilla Peña, Ciudad de Buenos Aires"
"49","Las pizarras bistro, Ciudad de Buenos Aires"
"50","Cantina Sunae, Ciudad de Buenos Aires"
"51","Positano Lírica, Opera Ristorante, Ciudad de Buenos Aires"
"52","Tomo 1, Ciudad de Buenos Aires"
"53","Dada Bistro, Ciudad de Buenos Aires"
"54","Amici Miei Ristorante, Ciudad de Buenos Aires"
"55","El Preferido de Palermo, Ciudad de Buenos Aires"
"56","Las Horas Parrilla, Ciudad de Buenos Aires"
"57","Una Cancion Coreana, Ciudad de Buenos Aires"
"58","Johnny B. Good Puerto Madero, Ciudad de Buenos Aires"
"59","La Pescadorita, Ciudad de Buenos Aires"
"60","Osaka, Ciudad de Buenos Aires"
"61","Nuestro Secreto, Ciudad de Buenos Aires"
"62","La Morada, Ciudad de Buenos Aires"
"63","Pertutti Restaurante, Ciudad de Buenos Aires"
"64","San Paolo Pizzeria, Ciudad de Buenos Aires"
"65","Maria Fedele, Ciudad de Buenos Aires"
"66","Dobar Tek, Ciudad de Buenos Aires"
"67","Sarkis, Ciudad de Buenos Aires"
"68","FAYER Buenos Aires, Ciudad de Buenos Aires"
"69","Restaurant Estilo Campo, Ciudad de Buenos Aires"
"70","Pertutti, Ciudad de Buenos Aires"
"71","Osaka Madero, Ciudad de Buenos Aires"
"72","Gioia Restaurante &amp; Terrazas, Ciudad de Buenos Aires"
"73","Fervor, Ciudad de Buenos Aires"
"74","Al Carbon, Ciudad de Buenos Aires"
"75","Elena, Ciudad de Buenos Aires"
"76","RonConCon, Ciudad de Buenos Aires"
"77","El Burladero, Ciudad de Buenos Aires"
"78","El Faro Hotel Hilton, Ciudad de Buenos Aires"
"79","El Estrebe, Ciudad de Buenos Aires"
"80","Sorrento  Madero, Ciudad de Buenos Aires"
"81","Duhau Restaurante &amp; Vinoteca, Ciudad de Buenos Aires"
"82","MAGRITTE RESTAURANTE, Ciudad de Buenos Aires"
"83","Bistro Sur, Ciudad de Buenos Aires"
"84","Parrilla Los Pinos, Ciudad de Buenos Aires"
"85","Las Cañas, Ciudad de Buenos Aires"
"86","Los Remolinos, Ciudad de Buenos Aires"
"87","El Mirasol de La Recova, Ciudad de Buenos Aires"
"88","La Cabrera Sur, Ciudad de Buenos Aires"
"89","Anchoita - Buenos Aires, Ciudad de Buenos Aires"
"90","Pony Line, Ciudad de Buenos Aires"
"91","Nicky NY Sushi, Ciudad de Buenos Aires"
"92","La Rosa Negra, Ciudad de Buenos Aires"
"93","Pizzeria Los Campeones, Ciudad de Buenos Aires"
"94","El Pobre Luis, Ciudad de Buenos Aires"
