"","X","salieron.mal"
"1",1,"Plaza de los Viveros, Ciudad de Buenos Aires"
"2",2,"Plaza Antonio Malaver, Ciudad de Buenos Aires"
"3",3,"Plaza Ciudad de Udine, Ciudad de Buenos Aires"
"4",4,"Plaza Colpayo, Ciudad de Buenos Aires"
"5",5,"Plaza Éxodo Jujeño, Ciudad de Buenos Aires"
"6",6,"Plaza Güemes, Ciudad de Buenos Aires"
"7",7,"Plaza Holanda, Ciudad de Buenos Aires"
"8",8,"Plaza Hungría, Ciudad de Buenos Aires"
"9",9,"Plaza Mafalda, Ciudad de Buenos Aires"
"10",10,"Plaza Marcos Sastre, Ciudad de Buenos Aires"
"11",11,"Plaza Matheu, Ciudad de Buenos Aires"
"12",12,"Plaza Portugal, Ciudad de Buenos Aires"
"13",13,"Plaza Ricchieri, Ciudad de Buenos Aires"
